,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,1540,0,1401,0,0
1,1535,22,1396,7,12,2
2,1105,28,1015,8,15,2
3,870,22,795,6,14,6
4,669,62,602,46,13,3
5,463,26,405,7,16,0
6,427,30,375,17,10,3
7,306,15,255,4,8,0
8,297,6,247,2,2,0
9,274,31,227,16,13,1
10,280,12,230,4,6,3
11,209,12,168,1,10,0
12,196,35,158,3,31,1
13,208,102,170,89,13,4
14,324,57,282,16,39,5
15,390,57,342,17,28,6
16,425,47,366,11,30,3
17,462,32,401,9,14,1
18,483,13,412,2,9,2
19,468,20,397,7,6,2
20,374,17,297,4,10,3
21,316,15,248,1,13,1
22,279,42,219,16,19,4
23,249,19,198,7,9,3
24,229,20,185,4,14,0
25,239,18,191,6,10,1
26,224,13,179,4,8,2
27,212,3,173,0,3,0
28,201,7,161,0,7,1
29,153,11,122,3,7,0
30,147,15,114,2,14,1
31,142,15,112,2,14,0
32,138,16,108,6,8,3
33,145,9,115,2,6,2
34,151,16,118,5,10,1
35,150,12,119,2,8,0
36,161,15,124,2,13,2
37,160,18,122,6,11,5
38,165,11,128,3,7,2
39,158,32,126,12,16,1
40,183,23,147,11,8,0
41,188,10,152,3,5,0
42,193,7,155,0,8,0
43,194,21,154,3,22,1
44,198,28,166,3,29,0
45,208,27,179,7,17,4
46,208,21,180,5,16,2
47,215,10,184,0,10,2
48,215,11,183,1,9,4
49,219,12,189,3,9,3
50,224,25,187,5,19,4
51,247,59,195,10,42,3
52,300,32,237,7,21,5
53,319,16,259,5,9,2
54,325,43,264,4,39,1
55,363,15,297,2,11,2
56,366,22,298,5,14,0
57,344,17,275,4,11,2
58,308,50,236,3,61,6
59,324,27,277,7,18,3
60,344,15,294,1,15,3
61,316,18,271,3,14,2
62,310,17,272,0,17,1
63,308,9,273,0,9,1
64,286,11,255,1,10,0
65,219,14,187,1,14,3
66,211,30,184,4,25,3
67,231,22,206,1,25,0
68,239,12,217,1,11,0
69,240,16,216,3,15,1
70,247,16,221,2,15,2
71,255,27,230,5,20,3
72,259,8,234,1,7,1
73,225,10,209,2,6,0
74,209,28,184,5,24,2
75,230,29,201,3,29,5
76,247,36,226,6,29,1
77,262,8,241,1,9,6
78,246,12,232,0,12,5
79,251,18,240,5,11,3
80,259,15,248,1,16,1
81,253,17,235,2,15,2
82,239,14,218,1,14,0
83,214,13,187,0,14,5
84,215,9,192,0,10,2
85,217,25,185,2,25,1
86,221,12,195,2,10,2
87,217,22,188,6,13,0
88,219,21,195,3,19,3
89,227,25,208,3,21,3
90,243,15,217,2,17,3
91,249,14,230,2,12,3
92,230,18,214,2,16,1
93,239,13,222,2,10,1
94,231,18,217,4,17,1
95,227,19,216,4,19,1
96,231,35,219,9,33,1
97,252,24,243,4,21,2
98,256,24,245,3,19,4
99,275,24,256,1,22,3
100,304,42,274,4,37,6
101,347,45,305,9,45,3
102,395,38,351,5,33,5
103,415,15,362,0,19,3
104,414,28,354,3,31,2
105,440,40,383,3,37,6
106,476,33,418,5,26,8
107,460,19,416,4,15,6
108,421,18,381,2,17,5
109,380,17,346,3,16,2
110,375,25,334,3,24,2
111,376,16,330,1,16,7
112,318,14,287,2,13,0
113,276,17,245,1,19,3
114,256,14,234,2,14,0
115,249,10,228,3,4,4
116,258,25,229,6,15,1
117,265,34,232,7,27,2
118,275,20,240,7,9,0
119,285,20,236,6,11,6
120,286,18,234,5,21,3
121,327,41,268,6,36,6
122,359,24,309,3,23,3
123,351,25,311,3,24,3
124,334,14,293,0,18,3
125,329,11,300,2,9,1
126,318,6,294,0,7,1
127,299,12,271,1,12,5
128,240,12,222,1,10,0
129,211,16,190,1,14,1
130,194,7,174,0,8,0
131,183,15,159,2,14,3
132,201,19,166,3,16,11
133,228,21,194,1,19,6
134,248,24,210,5,21,5
135,267,7,240,0,8,1
136,273,26,244,2,25,2
137,304,30,265,4,27,4
138,320,20,282,2,17,3
139,312,28,273,3,26,2
140,322,22,282,1,26,5
141,306,39,276,2,39,2
142,376,66,328,8,61,5
143,427,33,375,0,37,6
144,417,14,377,0,16,4
145,416,41,375,10,26,2
146,437,23,390,3,18,5
147,434,36,383,2,37,4
148,434,58,387,6,54,7
149,426,70,385,3,72,5
150,539,120,479,10,113,13
151,687,73,634,6,70,3
152,732,44,683,3,45,6
153,760,38,710,2,37,2
154,780,37,722,4,36,6
155,764,38,705,1,42,6
156,718,34,656,2,33,3
157,565,26,508,3,25,5
158,497,48,433,5,50,4
159,485,41,418,3,45,4
160,480,41,422,4,40,6
161,481,41,430,3,42,8
162,473,44,425,3,54,13
163,471,38,449,3,40,2
164,488,44,462,6,44,6
165,462,42,450,0,53,2
166,451,30,450,2,33,0
167,438,24,441,2,22,2
168,415,24,403,2,28,2
169,379,48,360,5,59,2
170,381,23,368,1,28,8
171,370,60,355,2,81,2
172,395,34,389,1,49,3
173,400,36,403,2,36,1
174,418,38,418,7,37,2
175,437,30,430,1,36,2
176,416,32,401,7,23,5
177,433,29,408,2,33,5
178,407,45,371,1,58,8
179,412,49,374,4,50,3
180,429,50,393,5,53,3
181,448,51,411,2,59,6
182,488,49,457,2,62,5
183,534,81,509,4,97,6
184,592,52,578,4,55,2
185,594,45,564,2,51,1
186,624,66,578,7,60,7
187,667,51,606,2,56,9
188,667,50,611,2,56,11
189,666,68,602,4,75,4
190,658,69,583,4,74,8
191,691,77,616,2,91,10
192,738,156,660,7,153,5
193,835,134,751,6,144,11
194,922,89,844,6,93,11
195,961,42,888,0,55,5
196,919,48,860,6,47,5
197,880,102,820,4,121,6
198,902,91,847,4,102,8
199,860,99,818,3,115,13
200,811,103,785,12,95,10
201,843,151,804,12,145,11
202,985,151,930,23,149,23
203,1126,105,1090,5,119,12
204,1149,163,1102,6,178,24
205,1253,246,1228,2,285,33
206,1435,292,1443,12,318,11
207,1673,218,1699,15,243,11
208,1750,139,1792,3,145,15
209,1729,120,1767,9,128,10
210,1720,120,1766,12,122,18
211,1670,114,1702,14,131,2
212,1542,138,1521,5,165,13
213,1377,150,1336,1,186,16
214,1282,110,1241,3,125,13
215,1224,126,1203,5,137,9
216,1321,187,1198,8,204,99
217,1381,169,1344,12,196,6
218,1449,153,1416,9,169,18
219,1491,188,1457,10,208,23
220,1574,323,1519,11,391,23
221,1835,309,1855,11,336,21
222,2052,252,2095,8,272,31
223,2056,239,2114,9,296,22
224,2142,228,2234,5,254,17
225,2241,250,2331,4,258,10
226,2322,185,2382,9,183,22
227,2193,164,2176,3,175,146
228,2070,185,2089,3,213,19
229,2009,193,1997,5,227,15
230,1963,202,1924,5,232,16
231,1979,219,1916,6,256,26
232,2050,294,1964,7,305,37
233,2267,292,2137,7,348,83
234,2376,207,2293,7,223,33
235,2539,414,2408,18,412,67
236,2884,362,2753,9,398,106
237,3104,316,3057,13,369,27
238,3253,277,3218,6,339,22
239,3325,239,3274,12,283,39
240,3217,247,3165,8,260,47
241,3265,251,3232,6,290,47
242,2951,150,2991,6,157,16
243,2621,119,2666,0,134,21
244,2363,106,2379,3,114,15
