,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,12,0,6,0,0
1,7,614,1,410,28,0
2,80,292,25,127,111,25
3,68,233,26,153,57,20
4,64,258,24,159,84,14
5,55,40,22,9,27,12
6,93,91,15,14,76,69
7,32,22,19,7,12,2
8,33,28,18,8,15,2
9,30,28,19,8,16,4
10,33,76,21,54,15,2
11,19,28,12,8,16,0
12,18,33,6,18,11,3
13,6,19,3,6,8,0
14,12,10,8,4,2,1
15,17,43,12,21,17,0
16,17,21,10,7,9,1
17,13,18,8,4,11,1
18,12,46,6,8,35,0
19,21,121,15,98,17,2
20,22,84,12,30,46,0
21,27,75,19,32,24,3
22,48,62,36,19,31,1
23,25,42,19,13,16,2
24,14,19,8,5,10,1
25,16,27,10,8,12,2
26,16,23,10,8,10,2
27,16,16,9,2,12,1
28,20,52,11,20,23,1
29,18,26,9,11,9,3
30,14,29,6,10,14,0
31,12,28,6,10,12,0
32,13,15,7,5,8,1
33,12,5,7,1,4,2
34,11,13,7,4,8,0
35,6,16,3,5,8,0
36,14,25,8,7,14,0
37,11,22,7,5,15,0
38,7,30,3,13,8,1
39,11,17,8,5,8,1
40,12,21,7,9,8,0
41,6,14,3,2,10,0
42,7,23,2,6,14,0
43,11,30,5,13,10,2
44,10,22,6,7,12,0
45,6,44,2,17,19,0
46,8,31,5,14,11,0
47,10,16,7,3,11,0
48,11,14,5,3,11,0
49,18,38,12,11,24,2
50,15,39,10,19,20,0
51,16,32,8,9,20,2
52,7,34,3,12,16,0
53,10,23,6,8,8,0
54,8,17,4,6,8,2
55,11,21,6,8,9,3
56,28,55,14,17,28,4
57,32,92,22,26,48,1
58,27,53,17,14,29,3
59,22,27,16,7,16,2
60,15,53,12,33,14,0
61,16,24,9,7,11,1
62,15,25,10,7,14,1
63,25,32,16,11,13,0
64,34,78,18,38,41,1
65,13,50,5,16,26,4
66,16,29,8,8,18,3
67,16,27,12,7,17,3
68,14,25,9,3,20,1
69,15,19,13,4,14,0
70,13,20,9,7,7,1
71,17,29,11,6,20,1
72,22,54,10,14,32,3
73,22,42,18,9,33,3
74,17,23,11,5,15,2
75,18,27,13,5,22,0
76,21,25,12,5,18,3
77,27,39,20,8,28,0
78,13,13,9,2,10,0
79,10,21,9,5,12,0
80,19,48,13,11,34,1
81,27,42,18,8,33,3
82,24,50,21,12,36,1
83,20,14,12,3,11,5
84,20,27,13,6,16,6
85,15,28,8,11,12,2
86,19,23,14,5,16,1
87,14,35,8,13,13,0
88,15,26,12,8,13,0
89,14,23,9,2,20,3
90,15,19,10,3,16,2
91,21,44,16,8,33,0
92,22,21,18,3,17,1
93,11,33,8,11,14,0
94,17,40,10,9,31,2
95,19,33,17,4,28,1
96,16,25,12,6,20,2
97,16,27,12,7,17,3
98,17,24,13,3,20,2
99,19,28,20,8,16,0
100,18,32,15,10,19,2
101,26,32,20,8,26,1
102,23,49,17,16,36,1
103,27,35,21,8,26,2
104,28,32,17,6,21,2
105,14,40,8,19,12,2
106,36,75,21,20,40,5
107,29,73,22,27,44,1
108,29,68,21,19,39,3
109,27,42,17,14,22,4
110,29,42,19,13,26,1
111,47,75,29,20,44,8
112,38,60,25,16,32,8
113,28,38,11,8,27,7
114,23,32,9,10,19,5
115,20,24,14,7,17,1
116,29,39,19,9,26,0
117,22,33,13,6,26,3
118,22,18,13,3,16,2
119,16,26,9,5,21,2
120,16,24,8,5,19,2
121,14,31,10,9,16,0
122,22,44,15,16,15,3
123,28,65,22,23,35,2
124,11,28,11,9,13,0
125,9,36,6,12,16,1
126,25,29,14,12,19,3
127,29,83,16,28,42,3
128,19,46,11,9,36,2
129,33,39,25,8,28,1
130,25,32,16,6,25,2
131,14,23,11,4,19,1
132,11,15,6,3,11,1
133,26,22,19,5,17,1
134,10,15,6,3,9,0
135,7,25,3,5,17,0
136,11,21,8,6,14,1
137,19,37,14,12,19,0
138,21,47,14,18,23,3
139,16,40,6,8,28,1
140,31,56,22,15,36,3
141,17,16,12,1,16,2
142,23,45,15,10,29,1
143,28,50,19,15,27,1
144,25,36,18,6,28,1
145,16,42,13,8,32,1
146,25,41,12,9,30,3
147,31,55,22,8,45,4
148,40,113,29,27,73,4
149,21,52,14,11,36,2
150,20,21,18,1,21,1
151,25,61,23,18,32,1
152,34,37,25,6,27,4
153,24,54,17,12,38,2
154,38,83,28,17,62,6
155,53,116,43,25,83,5
156,76,203,58,40,146,7
157,47,117,36,25,86,3
158,58,72,49,12,58,2
159,33,60,22,15,34,3
160,40,56,24,12,41,2
161,45,59,28,16,40,6
162,38,55,27,15,31,3
163,35,45,25,10,31,3
164,41,73,25,20,47,3
165,29,61,20,15,42,2
166,20,55,10,9,44,2
167,32,66,23,19,49,4
168,41,70,22,16,56,10
169,28,54,19,11,43,1
170,30,68,18,17,49,3
171,28,57,15,20,40,0
172,23,43,15,9,35,0
173,17,35,10,7,25,1
174,25,36,16,5,34,1
175,25,67,16,16,61,0
176,21,38,13,7,31,2
177,35,91,22,20,81,4
178,33,54,22,10,55,1
179,18,53,12,15,30,2
180,25,55,18,18,35,0
181,25,47,15,11,35,0
182,21,48,12,15,24,2
183,30,55,22,17,32,4
184,37,75,24,10,74,4
185,25,66,15,15,46,3
186,30,68,20,15,53,1
187,29,81,14,19,58,4
188,34,87,24,24,63,6
189,42,121,31,44,82,1
190,34,77,18,16,57,1
191,30,70,21,15,53,2
192,45,105,28,29,61,2
193,30,91,16,22,61,4
194,36,78,20,17,56,9
195,41,100,29,23,72,1
196,48,113,30,23,86,4
197,49,115,27,16,103,4
198,53,197,34,34,140,3
199,86,180,50,34,143,6
200,73,120,43,23,93,9
201,30,59,15,10,54,3
202,28,59,12,10,51,2
203,58,123,37,24,112,5
204,56,128,30,30,98,4
205,66,134,37,22,117,6
206,53,133,31,24,103,7
207,94,206,63,37,156,12
208,84,204,39,50,153,21
209,76,150,49,40,108,10
210,95,213,50,43,172,17
211,113,309,55,38,290,34
212,132,352,88,42,323,8
213,108,269,62,43,245,9
214,94,168,49,16,152,18
215,84,150,49,24,134,12
216,73,145,44,26,127,12
217,60,142,30,30,128,3
218,73,183,31,42,144,5
219,78,206,42,47,166,15
220,54,151,27,32,116,5
221,68,162,40,35,127,9
222,76,316,38,41,275,17
223,87,203,47,32,191,9
224,85,195,44,35,166,12
225,97,256,50,40,220,15
226,129,423,87,74,383,19
227,174,391,118,46,356,18
228,142,305,80,31,287,21
229,158,284,84,33,297,21
230,110,279,56,36,253,11
231,141,312,79,44,244,5
232,107,241,61,42,177,15
233,233,211,62,26,178,133
234,106,250,65,42,206,12
235,99,249,62,37,224,8
236,120,274,76,49,228,12
237,134,292,80,52,250,19
238,179,423,117,80,320,16
239,280,424,152,91,330,82
240,190,347,82,111,168,28
241,313,592,186,100,440,57
242,328,512,169,71,441,96
243,220,390,139,50,376,26
244,195,358,126,52,337,19
245,259,319,172,58,286,39
246,238,330,154,46,276,43
247,197,338,110,55,289,39
248,121,185,71,23,159,14
249,108,183,69,25,154,19
250,88,152,47,29,115,16
251,72,170,43,31,122,5
252,75,153,45,33,106,10
253,90,264,58,80,175,13
254,74,209,51,57,144,5
255,71,207,44,49,161,5
256,61,172,43,47,125,5
257,65,211,35,62,160,3
258,49,146,29,35,119,1
259,75,263,47,92,162,6
260,89,271,54,76,195,4
261,73,188,41,39,140,5
262,71,201,43,47,150,10
263,67,174,39,46,139,7
264,50,168,31,40,140,9
265,85,184,54,35,153,9
266,97,215,56,36,187,17
267,93,250,52,54,186,12
268,61,240,31,57,154,8
269,78,216,45,50,153,5
270,147,203,44,44,153,77
271,71,205,37,28,180,8
272,85,217,44,45,181,8
273,140,512,77,122,401,13
274,132,349,79,65,314,14
275,120,320,70,48,308,24
276,126,366,64,68,320,16
277,151,358,75,59,341,25
278,111,307,68,46,316,8
279,77,251,51,42,214,6
280,138,323,87,58,272,10
281,140,399,75,97,268,14
282,128,419,63,75,370,20
283,114,330,55,66,285,11
284,105,269,43,74,208,10
285,152,426,54,117,357,8
286,101,319,30,82,260,14
287,126,412,54,129,308,12
288,133,438,60,130,321,23
289,114,295,49,70,225,18
290,181,576,72,167,447,23
291,192,683,79,219,520,51
292,160,440,67,125,354,28
293,113,340,48,103,241,14
294,109,333,63,89,246,16
295,99,341,33,96,260,16
296,100,287,33,67,236,20
297,111,302,54,69,234,13
298,114,401,51,97,341,12
299,79,252,39,61,195,8
300,102,297,45,57,229,21
301,101,417,55,116,266,13
302,178,388,47,78,359,31
303,102,444,46,115,322,12
304,123,281,43,81,191,52
305,133,300,35,71,211,57
306,101,334,46,89,243,11
307,52,174,26,47,118,8
308,73,268,31,75,171,9
309,116,427,53,140,253,17
310,106,466,40,138,334,21
311,94,362,33,88,262,15
312,106,362,41,101,261,15
313,44,176,17,54,98,7
314,32,148,17,42,81,4
315,65,181,36,48,108,8
316,63,242,21,48,186,13
317,69,248,32,58,179,7
318,62,232,21,54,162,17
319,64,172,27,50,95,21
320,61,215,21,46,165,16
321,69,224,34,59,160,8
322,67,233,38,57,164,5
323,48,199,20,46,142,7
324,60,180,33,30,158,2
325,64,193,45,49,135,3
326,58,232,23,58,151,5
327,46,162,24,43,106,2
328,32,91,12,26,60,6
329,47,183,20,53,128,4
330,47,142,21,34,106,4
331,43,102,19,30,68,3
332,38,110,23,30,71,2
333,30,123,13,40,62,2
334,33,114,12,36,64,6
335,31,145,13,50,78,3
336,38,222,19,33,189,2
337,37,155,19,30,120,1
338,47,139,18,37,89,8
339,38,155,22,41,102,3
340,35,134,16,37,84,1
341,29,135,10,49,73,4
342,38,141,12,40,89,15
343,45,242,21,85,138,3
344,57,214,27,66,151,9
345,42,221,18,63,154,4
346,40,118,28,29,70,10
347,50,205,28,66,102,10
348,28,100,13,30,54,3
349,29,91,12,30,49,3
350,40,108,22,33,53,3
351,23,87,9,29,40,3
352,18,86,10,31,38,2
353,27,120,15,41,58,1
354,27,107,19,39,52,4
355,29,83,12,22,45,2
356,19,106,10,38,42,1
357,21,76,9,26,30,4
358,24,112,8,38,49,3
359,25,94,12,30,46,3
360,32,148,14,84,84,2
361,40,135,17,49,63,11
362,31,115,16,35,62,1
363,17,138,3,42,80,4
364,31,120,12,34,76,4
365,38,146,18,39,98,3
366,26,97,13,29,54,4
367,28,104,9,36,58,2
368,15,74,5,23,39,0
369,21,75,7,21,44,0
370,20,112,6,39,54,2
371,33,129,19,40,67,2
372,41,145,21,49,66,1
373,40,170,23,52,93,7
374,39,119,19,42,55,4
375,36,140,17,44,80,6
376,28,115,11,36,58,4
377,31,100,18,31,61,4
378,24,77,12,26,37,2
379,49,180,27,70,73,12
380,35,109,23,40,43,5
381,38,177,24,56,85,5
382,34,105,15,32,60,7
383,29,96,20,30,46,2
384,25,90,20,31,41,1
385,22,90,12,22,57,2
386,19,68,8,17,38,2
387,32,122,14,38,57,6
388,33,106,22,27,67,4
389,31,88,16,23,54,8
390,33,127,20,37,66,3
391,23,110,11,31,58,1
392,33,145,18,52,67,5
393,28,111,14,26,70,2
394,38,178,25,49,94,5
395,42,164,23,51,76,4
396,39,156,17,47,77,2
397,36,202,18,70,83,3
398,40,150,22,51,65,7
399,51,171,34,57,81,8
400,41,165,23,69,58,6
401,43,150,24,41,85,5
402,38,146,16,45,73,9
403,44,123,26,33,70,3
404,32,134,12,48,54,1
405,52,198,12,94,81,2
406,24,101,14,32,48,2
407,25,126,10,38,60,5
408,21,74,10,16,53,2
409,25,93,10,20,60,8
410,42,240,13,23,204,23
411,69,303,11,31,257,51
412,44,174,20,58,77,16
413,40,188,18,60,91,12
414,47,163,20,52,89,11
415,41,220,24,66,130,5
416,50,154,33,40,90,4
417,52,204,30,59,136,8
418,54,240,35,62,148,9
419,89,436,56,127,250,11
420,88,253,40,67,166,34
421,60,265,44,78,146,10
422,48,172,30,35,126,9
423,83,308,42,106,165,27
424,65,156,26,41,93,25
425,50,171,24,40,110,6
426,29,116,19,30,71,2
427,33,165,23,46,100,4
428,46,181,35,46,109,3
429,45,171,20,53,116,4
430,50,168,35,42,113,4
431,40,217,26,78,118,1
432,36,165,23,45,98,2
433,42,159,38,50,87,6
434,36,137,17,34,86,8
435,40,212,29,62,133,7
436,27,235,22,66,132,2
437,72,263,55,69,166,6
438,94,486,68,136,267,16
439,74,288,45,67,165,17
440,130,349,72,94,207,41
441,93,232,54,78,128,29
442,105,263,58,57,182,40
443,100,276,54,71,163,32
444,44,161,13,47,84,17
445,48,173,11,50,97,13
446,38,166,10,57,61,14
447,61,167,24,56,66,23
448,81,283,47,43,211,29
449,117,200,64,46,127,57
450,91,149,43,22,119,45
451,104,184,38,41,112,58
452,53,137,19,26,101,15
453,57,181,47,50,99,14
454,62,137,28,36,90,29
455,41,122,28,42,69,6
456,33,150,22,26,114,3
457,37,116,25,30,75,4
458,46,154,31,30,122,15
459,38,83,25,20,63,4
460,26,103,19,25,59,1
461,37,112,17,32,65,8
462,37,155,27,41,109,8
