,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,12,0,6,0,0
1,7,614,1,410,28,0
2,80,292,25,127,111,25
3,68,233,26,153,57,20
4,64,258,24,159,84,14
5,55,40,22,9,27,12
6,93,91,15,14,76,69
7,32,22,19,7,12,2
8,33,28,18,8,15,2
9,36,22,21,6,14,6
10,47,62,30,46,13,3
11,21,26,13,7,16,0
12,21,30,8,17,10,3
13,10,15,5,4,8,0
14,16,6,11,2,2,0
15,29,31,20,16,13,1
16,26,12,14,4,6,3
17,19,12,13,1,10,0
18,23,35,14,3,31,1
19,40,102,26,89,13,4
20,49,57,28,16,39,5
21,45,57,27,17,28,6
22,63,47,43,11,30,3
23,35,32,26,9,14,1
24,20,13,11,2,9,2
25,23,20,17,7,6,2
26,22,17,13,4,10,3
27,17,15,9,1,13,1
28,30,42,16,16,19,4
29,25,19,13,7,9,3
30,23,20,12,4,14,0
31,22,18,11,6,10,1
32,15,13,7,4,8,2
33,14,3,11,0,3,0
34,17,7,11,0,7,1
35,11,11,6,3,7,0
36,24,15,12,2,14,1
37,18,15,11,2,14,0
38,21,16,8,6,8,3
39,19,9,12,2,6,2
40,17,16,8,5,10,1
41,8,12,5,2,8,0
42,15,15,5,2,13,2
43,23,18,8,6,11,5
44,21,11,13,3,7,2
45,18,32,9,12,16,1
46,16,23,11,11,8,0
47,16,10,13,3,5,0
48,18,7,11,0,8,0
49,35,21,23,3,22,1
50,26,28,17,3,29,0
51,21,27,11,7,17,4
52,20,21,8,5,16,2
53,23,10,10,0,10,2
54,14,11,6,1,9,4
55,20,12,11,3,9,3
56,58,25,35,5,19,4
57,65,59,42,10,42,3
58,48,32,30,7,21,5
59,33,16,25,5,9,2
60,25,43,15,4,39,1
61,25,15,13,2,11,2
62,18,22,13,5,14,0
63,40,17,23,4,11,2
64,62,50,28,3,61,6
65,36,27,23,7,18,3
66,30,15,18,1,15,3
67,25,18,20,3,14,2
68,22,17,15,0,17,1
69,25,9,21,0,9,1
70,22,11,13,1,10,0
71,32,14,20,1,14,3
72,46,30,27,4,25,3
73,42,22,37,1,25,0
74,28,12,21,1,11,0
75,29,16,21,3,15,1
76,30,16,19,2,15,2
77,39,27,28,5,20,3
78,18,8,12,1,7,1
79,21,10,18,2,6,0
80,39,28,28,5,24,2
81,40,29,25,3,29,5
82,38,36,34,6,29,1
83,26,8,15,1,9,6
84,35,12,24,0,12,5
85,25,18,14,5,11,3
86,27,15,18,1,16,1
87,32,17,15,2,15,2
88,27,14,18,1,14,0
89,24,13,15,0,14,5
90,25,9,19,0,10,2
91,40,25,29,2,25,1
92,31,12,25,2,10,2
93,22,22,14,6,13,0
94,36,21,27,3,19,3
95,27,25,23,3,21,3
96,26,15,18,2,17,3
97,29,14,22,2,12,3
98,23,18,19,2,16,1
99,34,13,31,2,10,1
100,32,18,24,4,17,1
101,39,19,31,4,19,1
102,37,35,27,9,33,1
103,38,24,30,4,21,2
104,36,24,20,3,19,4
105,30,24,15,1,22,3
106,69,42,39,4,37,6
107,57,45,37,9,45,3
108,59,38,39,5,33,5
109,54,15,35,0,19,3
110,43,28,23,3,31,2
111,82,40,55,3,37,6
112,65,33,42,5,26,8
113,47,19,28,4,15,6
114,37,18,19,2,17,5
115,27,17,18,3,16,2
116,43,25,25,3,24,2
117,39,16,24,1,16,7
118,26,14,19,2,13,0
119,25,17,14,1,19,3
120,26,14,18,2,14,0
121,35,10,24,3,4,4
122,41,25,27,6,15,1
123,59,34,46,7,27,2
124,19,20,17,7,9,0
125,25,20,12,6,11,6
126,36,18,19,5,21,3
127,71,41,41,6,36,6
128,41,24,29,3,23,3
129,47,25,32,3,24,3
130,43,14,28,0,18,3
131,26,11,23,2,9,1
132,20,6,13,0,7,1
133,36,12,24,1,12,5
134,13,12,7,1,10,0
135,16,16,9,1,14,1
136,25,7,21,0,8,0
137,41,15,26,2,14,3
138,49,19,28,3,16,11
139,35,21,17,1,19,6
140,63,24,45,5,21,5
141,26,7,22,0,8,1
142,42,26,26,2,25,2
143,48,30,27,4,27,4
144,41,20,31,2,17,3
145,30,28,23,3,26,2
146,44,22,22,1,26,5
147,47,39,36,2,39,2
148,87,66,59,8,61,5
149,40,33,20,0,37,6
150,27,14,21,0,16,4
151,45,41,36,10,26,2
152,48,23,36,3,18,5
153,42,36,26,2,37,4
154,63,58,46,6,54,7
155,99,70,76,3,72,5
156,159,120,115,10,113,13
157,91,73,71,6,70,3
158,86,44,67,3,45,6
159,55,38,33,2,37,2
160,59,37,33,4,36,6
161,66,38,41,1,42,6
162,59,34,38,2,33,3
163,54,26,36,3,25,5
164,66,48,36,5,50,4
165,49,41,27,3,45,4
166,34,41,15,4,40,6
167,57,41,42,3,42,8
168,67,44,34,3,54,13
169,44,38,29,3,40,2
170,54,44,31,6,44,6
171,43,42,20,0,53,2
172,36,30,24,2,33,0
173,28,24,17,2,22,2
174,37,24,24,2,28,2
175,44,48,27,5,59,2
176,36,23,16,1,28,8
177,66,60,42,2,81,2
178,53,34,35,1,49,3
179,35,36,20,2,36,1
180,42,38,25,7,37,2
181,42,30,22,1,36,2
182,37,32,18,7,23,5
183,56,29,35,2,33,5
184,67,45,45,1,58,8
185,42,49,22,4,50,3
186,48,50,28,5,53,3
187,59,51,28,2,59,6
188,72,49,48,2,62,5
189,82,81,51,4,97,6
190,59,52,31,4,55,2
191,55,45,37,2,51,1
192,84,66,46,7,60,7
193,70,51,36,2,56,9
194,64,50,33,2,56,11
195,73,68,42,4,75,4
196,92,69,57,4,74,8
197,87,77,47,2,91,10
198,94,156,46,7,153,5
199,132,134,72,6,144,11
200,104,89,58,6,93,11
201,47,42,22,0,55,5
202,39,48,17,6,47,5
203,79,102,47,4,121,6
204,93,91,48,4,102,8
205,101,99,51,3,115,13
206,83,103,48,12,95,10
207,149,151,100,12,145,11
208,137,151,68,23,149,23
209,121,105,71,5,119,12
210,145,163,74,6,178,24
211,176,246,97,2,285,33
212,192,292,120,12,318,11
213,159,218,90,15,243,11
214,123,139,72,3,145,15
215,114,120,72,9,128,10
216,98,120,57,12,122,18
217,88,114,44,14,131,2
218,118,138,39,5,165,13
219,134,150,67,1,186,16
220,95,110,39,3,125,13
221,104,126,60,5,137,9
222,205,187,60,8,204,99
223,121,169,65,12,196,6
224,127,153,61,9,169,18
225,165,188,84,10,208,23
226,229,323,138,11,391,23
227,256,309,170,11,336,21
228,195,252,108,8,272,31
229,203,239,108,9,296,22
230,161,228,80,5,254,17
231,203,250,100,4,258,10
232,163,185,81,9,183,22
233,280,164,75,3,175,146
234,171,185,90,3,213,19
235,155,193,84,5,227,15
236,192,202,112,5,232,16
237,207,219,113,6,256,26
238,308,294,184,7,305,37
239,412,292,217,7,348,83
240,330,207,126,7,223,33
241,491,414,286,18,412,67
242,478,362,264,9,398,106
243,294,316,182,13,369,27
244,276,277,167,6,339,22
245,339,239,221,12,283,39
246,321,247,204,8,260,47
247,284,251,150,6,290,47
248,156,150,88,6,157,16
249,172,119,112,0,134,21
250,134,106,75,3,114,15
251,129,113,68,2,116,15
252,129,99,66,4,101,23
253,181,173,97,5,205,19
254,154,129,83,8,152,14
255,142,136,78,7,169,5
256,128,105,70,2,135,13
257,135,141,64,8,178,10
258,97,98,47,1,128,8
259,190,148,100,5,187,15
260,200,160,109,7,205,8
261,160,101,93,2,118,12
262,148,124,85,3,150,12
263,129,112,79,1,143,8
264,118,100,74,2,132,12
265,158,111,94,0,142,15
266,181,131,112,3,160,21
267,167,176,103,14,178,9
268,149,152,77,6,153,14
269,157,137,91,4,143,15
270,216,134,79,3,155,81
271,126,150,68,7,161,17
272,161,141,95,5,163,15
273,316,336,175,22,392,24
274,243,238,144,6,302,20
275,209,231,134,2,288,26
276,231,261,117,13,316,22
277,238,271,120,10,329,41
278,185,233,113,8,305,12
279,132,196,74,10,220,9
280,224,237,136,10,267,14
281,266,273,136,14,290,14
282,219,328,102,12,388,26
283,196,248,96,4,304,13
284,178,196,73,10,238,14
285,273,305,108,6,405,17
286,205,215,70,1,290,25
287,271,267,106,6,370,21
288,273,298,118,14,374,28
289,201,208,87,6,250,19
290,367,390,142,12,525,30
291,402,473,188,21,611,49
292,287,313,119,17,401,37
293,208,245,73,14,298,21
294,225,217,105,6,279,24
295,194,246,69,18,296,22
296,182,205,73,4,262,17
297,199,214,84,7,261,18
298,212,303,88,12,384,17
299,147,184,66,8,219,10
300,183,216,81,3,244,24
301,232,286,100,16,311,23
302,282,284,84,10,377,44
303,240,306,89,7,368,31
304,223,181,84,6,219,58
305,242,191,79,7,223,65
306,217,218,99,7,269,14
307,118,108,52,5,130,12
308,174,167,68,5,196,17
309,270,273,100,9,332,22
310,259,313,83,14,388,48
311,207,249,71,7,296,24
312,231,237,95,9,293,21
313,103,117,37,5,125,9
314,88,92,33,2,100,9
315,143,103,68,7,104,21
316,135,170,50,4,196,18
317,155,162,65,1,199,11
318,134,160,53,7,178,16
319,140,96,57,5,100,31
320,136,140,58,7,160,23
321,143,150,54,5,185,17
322,159,141,73,7,169,15
323,118,129,44,2,153,16
324,129,111,73,5,138,7
325,139,118,69,0,147,16
326,157,133,67,4,152,14
327,114,94,59,3,108,5
328,64,59,25,3,68,8
329,97,133,40,6,157,2
330,101,88,38,0,112,15
331,82,63,35,1,80,4
332,85,63,45,2,77,2
333,74,79,27,6,78,6
334,68,79,24,2,85,7
335,85,91,29,3,107,5
336,86,174,38,1,199,5
337,89,103,43,3,117,7
338,106,80,39,2,98,13
339,100,93,44,3,112,9
340,95,74,40,1,88,9
341,82,82,24,1,104,7
342,102,77,40,1,96,19
343,137,150,41,4,194,8
344,133,138,48,9,182,14
345,126,137,50,9,169,11
346,95,63,59,1,67,10
347,134,121,54,5,129,18
348,65,63,20,4,67,9
349,64,56,23,5,57,9
350,82,66,34,1,72,4
351,60,50,21,2,54,4
352,54,50,19,2,58,2
353,90,57,34,1,68,12
354,77,57,35,1,71,7
355,63,49,22,1,53,5
356,71,54,26,2,59,4
357,60,37,22,3,36,8
358,82,54,25,1,59,13
359,75,44,33,0,52,6
360,68,112,21,3,157,3
361,100,75,35,6,82,17
362,87,59,33,2,71,8
363,82,73,23,1,89,16
364,76,75,30,2,87,7
365,93,91,40,2,103,13
366,71,52,27,1,60,12
367,72,60,19,1,78,7
368,50,39,15,0,46,6
369,58,38,20,0,45,7
370,69,63,22,1,74,4
371,97,65,42,0,77,9
372,117,69,53,6,67,11
373,127,83,68,4,92,11
374,99,59,40,1,71,8
375,99,77,47,7,83,10
376,76,67,22,2,75,10
377,77,54,37,1,71,5
378,62,39,26,2,45,4
379,148,81,66,7,91,18
380,92,52,43,3,57,8
381,129,86,64,6,85,15
382,85,54,39,2,61,12
383,72,53,31,3,54,10
384,69,46,34,2,53,4
385,67,45,32,1,51,9
386,44,43,13,1,44,7
387,88,66,29,3,68,15
388,73,66,41,6,65,8
389,64,55,32,3,57,9
390,80,80,34,1,88,3
391,63,70,24,4,68,5
392,98,80,37,9,79,17
393,69,70,31,1,73,7
394,118,98,48,2,107,16
395,114,92,46,0,99,9
396,114,81,45,2,85,11
397,123,115,44,6,115,9
398,95,95,35,8,90,12
399,125,97,62,11,90,17
400,109,97,43,23,77,13
401,96,97,34,4,103,14
402,95,89,33,6,87,17
403,88,79,37,3,81,11
404,94,72,25,3,76,11
405,153,97,29,9,146,5
406,63,62,26,3,63,4
407,73,78,22,3,77,11
408,48,47,22,1,53,5
409,64,54,28,1,59,10
410,209,73,43,1,74,145
411,315,57,27,1,68,254
412,124,94,42,3,100,26
413,135,93,50,2,101,28
414,118,92,46,3,107,16
415,132,129,52,2,161,10
416,103,101,43,1,112,11
417,126,130,61,5,144,23
418,136,158,62,6,170,16
419,261,264,105,9,297,33
420,173,168,60,7,193,47
421,157,168,70,6,189,13
422,92,128,37,4,143,16
423,213,178,72,10,196,62
424,120,101,47,3,107,28
425,99,122,37,2,133,8
426,61,84,24,2,93,3
427,95,103,47,9,99,18
428,105,122,49,5,132,7
429,103,113,33,11,136,13
430,100,118,51,7,130,6
431,139,118,45,1,130,47
432,95,106,42,2,119,5
433,109,92,54,1,104,22
434,74,99,29,5,102,9
435,129,123,59,1,151,20
436,110,152,48,5,162,7
437,165,170,89,8,179,20
438,277,303,121,6,328,32
439,166,196,66,6,192,30
440,255,224,105,4,245,60
441,172,153,82,24,147,36
442,182,186,78,8,197,54
443,190,186,74,1,207,38
444,97,108,21,4,112,24
445,110,111,21,5,119,26
446,106,98,17,1,105,19
447,134,94,46,5,91,27
448,160,204,82,1,211,36
449,190,127,105,3,129,57
450,146,94,81,1,99,48
451,176,112,67,5,109,68
452,98,92,34,0,106,21
453,120,118,68,6,119,17
454,123,76,53,2,89,39
455,85,78,37,0,95,13
456,121,62,33,2,68,62
457,81,72,34,1,84,15
458,123,77,58,5,87,48
459,67,54,34,0,70,8
460,63,66,25,1,68,10
461,84,65,37,3,71,11
462,99,93,53,3,107,22
