from,to,date,value
38648,39319,2017-06-30,23400000.0
39361,49,2017-06-30,34202205.0
39074,39325,2017-06-30,18837000.0
38796,32786,2017-06-30,30000.0
39124,32810,2017-06-30,1000000.0
28144,39358,2017-06-30,59787000.0
39333,49,2017-06-30,117000000.0
19715,33295,2017-06-30,100.0
38907,25475,2017-06-30,175450000.0
35273,39312,2017-06-30,2000000.0
38698,39338,2017-06-30,97730100.0
38747,29491,2017-06-30,46800000.0
38571,39329,2017-06-30,100000000.0
39339,49,2017-06-30,46800000.0
39318,49,2017-06-30,17550000.0
38601,39361,2017-06-30,34202205.0
37498,38003,2017-06-30,3825900000.0
39332,49,2017-06-30,117000000.0
39329,49,2017-06-30,100000000.0
39334,49,2017-06-30,58500000.0
38644,39367,2017-06-30,46800000.0
39346,49,2017-06-30,26050000.0
27435,39324,2017-06-30,6000000.0
33177,2052,2017-06-30,10000.0
39344,49,2017-06-30,30000000.0
38805,39313,2017-06-30,56160000.0
32810,49,2017-06-30,1000000.0
39369,49,2017-06-30,12747815.0
39366,49,2017-06-30,23400000.0
15028,37062,2017-06-30,1170000.0
39321,49,2017-06-30,350000000.0
38582,39356,2017-06-30,40950000.0
38790,39336,2017-06-30,6000000.0
36643,39317,2017-06-30,8700000.0
39363,49,2017-06-30,351000000.0
38747,29492,2017-06-30,46800000.0
38918,39330,2017-06-30,11700000.0
34304,39337,2017-06-30,20000.0
25464,33173,2017-06-30,46800000.0
38896,39368,2017-06-30,362690000.0
39356,49,2017-06-30,40950000.0
26817,26819,2017-06-30,10.0
37784,49,2017-06-30,23400000.0
38596,39349,2017-06-30,9000000.0
39169,39323,2017-06-30,46800000.0
39322,49,2017-06-30,20570459.0
38825,39359,2017-06-30,500000000.0
38565,37120,2017-06-30,497250000.0
39275,39333,2017-06-30,117000000.0
36765,36765,2017-06-30,1546173843.0
39251,33734,2017-06-30,49034590.0
38568,15948,2017-06-30,468000000.0
38334,31621,2017-06-30,100000.0
39341,49,2017-06-30,58500000.0
39171,39344,2017-06-30,39030000.0
39330,49,2017-06-30,11700000.0
37498,25066,2017-06-30,3293000000.0
39360,49,2017-06-30,1000000.0
38596,39349,2017-06-30,50000000.0
17186,36494,2017-06-30,2574000.0
38892,37784,2017-06-30,23400000.0
38754,39351,2017-06-30,117000000.0
38628,39365,2017-06-30,46554299.0
39367,49,2017-06-30,46800000.0
36651,39315,2017-06-30,11700000.0
39362,49,2017-06-30,2340000.0
39160,36543,2017-06-30,320580000.0
38743,39355,2017-06-30,1000000.0
39085,36346,2017-06-30,3688495.0
25374,39159,2017-06-30,23400000.0
25464,25435,2017-06-30,93600000.0
38787,38614,2017-06-30,70200000.0
37062,49,2017-06-30,1170000.0
25234,34965,2017-06-30,292500000.0
39329,49,2017-06-30,50000000.0
36649,18749,2017-06-30,500000.0
34794,39362,2017-06-30,2340000.0
27435,39324,2017-06-30,10000.0
39070,39348,2017-06-30,59670000.0
33875,39188,2017-06-30,23400000.0
39317,49,2017-06-30,8700000.0
39130,39318,2017-06-30,17550000.0
38749,27640,2017-06-30,10000.0
34304,39337,2017-06-30,467980000.0
39315,49,2017-06-30,11700000.0
38596,39349,2017-06-30,58000000.0
39230,39326,2017-06-30,11700000.0
38790,39336,2017-06-30,5700000.0
36494,49,2017-06-30,2574000.0
38958,39342,2017-06-30,11700000.0
39213,39322,2017-06-30,20570459.0
38995,39349,2017-06-30,4790000.0
38661,38869,2017-06-30,50000.0
39364,49,2017-06-30,58500000.0
33136,49,2017-06-30,35100000.0
11838,18624,2017-06-30,50000.0
14462,37383,2017-06-30,5000000.0
38574,35341,2017-06-30,50000.0
39363,49,2017-06-30,125987564.0
39365,49,2017-06-30,46554299.0
38907,25475,2017-06-30,175500000.0
587,37464,2017-06-30,23400000.0
37000,39340,2017-06-30,585000000.0
38660,39122,2017-06-30,100000.0
39368,49,2017-06-30,362700000.0
38917,25779,2017-06-30,38844000.0
39192,39366,2017-06-30,23400000.0
39336,49,2017-06-30,5700000.0
38896,39368,2017-06-30,10000.0
39355,49,2017-06-30,1000000.0
8711,16970,2017-06-30,100.0
39335,49,2017-06-30,175500000.0
39372,49,2017-06-30,35100000.0
1855,39354,2017-06-30,35050000.0
28064,33475,2017-06-30,1000000.0
39349,49,2017-06-30,58000000.0
38973,39334,2017-06-30,58500000.0
29867,39369,2017-06-30,12737815.0
39358,49,2017-06-30,59787000.0
36297,36298,2017-06-30,100000.0
39349,49,2017-06-30,9000000.0
33982,39371,2017-06-30,100000000.0
39352,49,2017-06-30,43594200.0
36073,26170,2017-06-30,10530000.0
39142,39370,2017-06-30,175500000.0
39337,49,2017-06-30,468000000.0
38574,35341,2017-06-30,10000000.0
39251,33734,2017-06-30,110.0
39018,36616,2017-06-30,24570000.0
39162,39332,2017-06-30,58500000.0
39338,49,2017-06-30,97730100.0
39328,49,2017-06-30,5850000.0
39321,49,2017-06-30,1000000.0
39353,49,2017-06-30,250000000.0
