from,to,date,value
72892,72893,2017-09-02,1e+18
72896,72824,2017-09-02,6.28057611e+20
72879,72880,2017-09-02,5e+18
72877,70521,2017-09-02,8e+20
72883,63982,2017-09-02,1e+19
72897,72898,2017-09-02,3.22873551e+20
54461,62549,2017-09-02,8.195e+21
72891,69964,2017-09-02,3.3e+22
72886,38366,2017-09-02,3.08e+22
63553,72878,2017-09-02,5e+20
72871,54769,2017-09-02,5e+18
72884,72885,2017-09-02,1e+18
72873,38610,2017-09-02,9.3e+19
72900,72443,2017-09-02,1.15e+23
72888,68921,2017-09-02,2.1781079182425e+23
72866,65893,2017-09-02,1e+20
72881,72882,2017-09-02,2.63987806264e+22
72890,69964,2017-09-02,3.3e+22
72872,64045,2017-09-02,1.331e+22
72887,60024,2017-09-02,2.5496353828239667e+21
72867,56904,2017-09-02,1e+19
71338,72904,2017-09-02,6e+20
72870,72869,2017-09-02,1.3244188067e+22
72389,72899,2017-09-02,1e+18
72894,72895,2017-09-02,1e+19
72903,53881,2017-09-02,2.477e+23
72874,32157,2017-09-02,1.1e+22
72875,72876,2017-09-02,3.8671575e+21
72902,43463,2017-09-02,1.09022283636e+23
72887,60024,2017-09-02,2.5496353e+21
72901,49553,2017-09-02,1.16203220925e+21
72887,60024,2017-09-02,2.549e+21
72868,72869,2017-09-02,1.3540359998e+22
72989,57720,2017-09-03,1e+20
72906,68483,2017-09-03,1.59984e+22
73003,45853,2017-09-03,5.467e+23
73022,73023,2017-09-03,1.0457305082e+21
73078,73079,2017-09-03,6.75e+21
73048,73049,2017-09-03,1e+19
37025,16924,2017-09-03,1.021864e+22
70890,72961,2017-09-03,3.756226362e+21
72879,72880,2017-09-03,2e+18
68063,72918,2017-09-03,3.995167e+20
72907,71201,2017-09-03,2e+21
72985,69078,2017-09-03,1e+19
69758,65222,2017-09-03,1e+18
73029,60363,2017-09-03,1e+19
73019,73020,2017-09-03,1.6e+22
72881,72882,2017-09-03,2.63987806264e+22
72942,72943,2017-09-03,3.5e+21
73108,34343,2017-09-03,1.09769e+21
73034,73035,2017-09-03,1e+19
73083,73084,2017-09-03,2.098162151813918e+20
72959,72960,2017-09-03,7.10823e+22
72965,67705,2017-09-03,1e+19
73008,66870,2017-09-03,2.25e+21
72999,55240,2017-09-03,1.498e+21
72884,72885,2017-09-03,2e+18
73018,72013,2017-09-03,4.74995867832736e+21
72660,73004,2017-09-03,1e+20
72999,55240,2017-09-03,1e+20
73027,44469,2017-09-03,3.16e+21
73038,73039,2017-09-03,1.075445816e+21
73100,73101,2017-09-03,8.08e+20
73063,49353,2017-09-03,6.88292794e+19
73066,57880,2017-09-03,2e+19
72896,72824,2017-09-03,6.28057611e+20
73076,73077,2017-09-03,1.4773e+22
72908,72909,2017-09-03,7.5227706526e+21
72981,49263,2017-09-03,9.8651581027668e+20
73106,73107,2017-09-03,2e+18
40308,36477,2017-09-03,1e+20
72965,72966,2017-09-03,5.5e+21
72925,72926,2017-09-03,7.5e+22
72965,67705,2017-09-03,5e+20
72937,72938,2017-09-03,1.0700445825e+21
73018,72013,2017-09-03,1e+19
70933,72986,2017-09-03,1.386e+20
73106,73107,2017-09-03,2.05439750306545e+18
73092,73093,2017-09-03,3.19999534544e+23
72988,37195,2017-09-03,4.0416e+22
72946,70692,2017-09-03,6.592726e+18
73050,73051,2017-09-03,3.49214173e+20
31783,32274,2017-09-03,8.186261856e+20
72965,67705,2017-09-03,1e+21
31782,31782,2017-09-03,4.353233831e+21
73104,73105,2017-09-03,2e+21
73053,64240,2017-09-03,1e+19
65261,59879,2017-09-03,1e+19
73044,72189,2017-09-03,1.0601535504e+21
73042,73043,2017-09-03,2.655637934e+22
72969,54117,2017-09-03,7.6899415e+21
72941,30451,2017-09-03,1.5e+22
72888,68921,2017-09-03,2.1781079182425e+23
72983,72984,2017-09-03,1e+19
72963,72964,2017-09-03,1e+20
72877,70521,2017-09-03,8e+20
72113,66470,2017-09-03,3.633483936e+21
73074,56950,2017-09-03,1.0467035824e+21
72999,55240,2017-09-03,5e+20
73009,73010,2017-09-03,2.970336749142289e+22
73002,72500,2017-09-03,3.770885189982729e+21
72913,65751,2017-09-03,1.3239e+20
44613,68619,2017-09-03,4e+20
72921,36643,2017-09-03,9e+21
72951,62170,2017-09-03,4e+18
71598,71599,2017-09-03,4e+20
71629,71630,2017-09-03,8e+19
73034,73035,2017-09-03,2e+18
30983,73052,2017-09-03,5e+20
72965,67705,2017-09-03,2e+20
73060,72843,2017-09-03,3.19966066256e+22
72954,72955,2017-09-03,7.9995632e+21
72973,72974,2017-09-03,5e+18
72933,72253,2017-09-03,1e+20
73011,73012,2017-09-03,7.29245e+23
73058,58187,2017-09-03,5e+18
72968,67235,2017-09-03,1.595e+22
26615,67252,2017-09-03,4.747e+22
72970,72970,2017-09-03,3.8708263181214e+21
73058,58187,2017-09-03,4e+18
73015,68903,2017-09-03,9.759e+21
72922,36477,2017-09-03,1e+19
73005,70010,2017-09-03,9.68775e+21
72905,71933,2017-09-03,1.7675112712e+21
72914,68542,2017-09-03,8e+20
72886,38366,2017-09-03,3.08e+22
72713,73028,2017-09-03,1e+19
72999,55240,2017-09-03,1.499e+21
