activation,seed,hidden_dim_1,hidden_dim_2,mlp_dim,learning_rate,dropout,l2_regularization,num_layers_LSTM,num_layers_GRU,trained_epochs,train_loss,train_aucroc,valid_aucroc,valid_loss
degree_activation,42,64,32,32,1e-05,0,1e-05,3,3,75,0.6739521351727572,0.5640816326530611,0.40606060606060607,0.68162868420283
degree_activation,42,64,32,32,1e-05,0,0.0001,3,3,75,0.6862099712545221,0.5342857142857143,0.4,0.7047787110010783
degree_activation,42,64,32,32,1e-05,0,0.001,3,3,75,0.6909172209826383,0.5448979591836735,0.406060606060606,0.6971710522969564
degree_activation,42,64,32,32,0.0001,0,1e-05,3,3,108,0.6081429719924927,0.6819047619047619,0.5939393939393939,0.6978088617324829
degree_activation,42,64,32,32,0.0001,0,0.0001,3,3,75,0.620275156064467,0.6738775510204081,0.5666666666666667,0.6823163827260336
degree_activation,42,64,32,32,0.0001,0,0.001,3,3,75,0.6525504914197054,0.6341496598639456,0.5484848484848486,0.6821929216384888
degree_activation,42,64,32,32,0.001,0,1e-05,3,3,106,0.36985244669697503,0.8882993197278912,0.6803030303030303,0.6341206630071005
degree_activation,42,64,32,32,0.001,0,0.0001,3,3,75,0.5900010737505826,0.7191836734693877,0.6015151515151516,0.691582461198171
degree_activation,42,64,32,32,0.001,0,0.001,3,3,75,0.6423008170994845,0.6394557823129252,0.5818181818181818,0.6890092690785726
degree_activation,42,64,32,32,0.01,0,1e-05,3,3,75,0.6604998274282976,0.5745578231292516,0.4363636363636364,0.6917982697486877
degree_activation,42,64,32,32,0.01,0,0.0001,3,3,75,0.6616957187652588,0.5714285714285714,0.3939393939393939,0.6974241137504578
degree_activation,42,64,32,32,0.01,0,0.001,3,3,75,0.6673648303205316,0.5170068027210885,0.4,0.7035703659057617
degree_activation,42,64,32,64,1e-05,0,1e-05,3,3,75,0.6719179532744668,0.5591836734693877,0.42424242424242425,0.6839024623235067
degree_activation,42,64,32,64,1e-05,0,0.0001,3,3,75,0.6801914355971597,0.5561904761904762,0.41515151515151516,0.6896173556645712
degree_activation,42,64,32,64,1e-05,0,0.001,3,3,75,0.6905566453933716,0.5376870748299318,0.4,0.6980760296185812
degree_activation,42,64,32,64,0.0001,0,1e-05,3,3,75,0.6281990354711359,0.6672108843537414,0.5727272727272728,0.6859150131543478
degree_activation,42,64,32,64,0.0001,0,0.0001,3,3,75,0.6124789010394703,0.6857142857142856,0.5787878787878789,0.688619057337443
degree_activation,42,64,32,64,0.0001,0,0.001,3,3,75,0.664350531317971,0.6028571428571429,0.46969696969696967,0.6867875059445699
degree_activation,42,64,32,64,0.001,0,1e-05,3,3,75,0.426490534435619,0.8450340136054422,0.55,1.0562273661295574
degree_activation,42,64,32,64,0.001,0,0.0001,3,3,75,0.5352866514162584,0.767482993197279,0.6196969696969696,0.6717350582281748
degree_activation,42,64,32,64,0.001,0,0.001,3,3,75,0.6428208405321295,0.6372789115646258,0.5863636363636363,0.6935287714004517
degree_activation,42,64,32,64,0.01,0,1e-05,3,3,75,0.6667253104123202,0.5174149659863946,0.396969696969697,0.7115574479103088
degree_activation,42,64,32,64,0.01,0,0.0001,3,3,75,0.6630374518307772,0.546530612244898,0.3151515151515152,0.7191417217254639
degree_activation,42,64,32,64,0.01,0,0.001,3,3,75,0.6671857996420427,0.5112925170068028,0.4,0.7065595587094625
degree_activation,42,64,64,32,1e-05,0,1e-05,3,3,75,0.670773901722648,0.5636734693877551,0.4303030303030303,0.6830926338831583
degree_activation,42,64,64,32,1e-05,0,0.0001,3,3,75,0.6720964962785895,0.5620408163265306,0.41818181818181815,0.6893119017283121
degree_activation,42,64,64,32,1e-05,0,0.001,3,3,75,0.6715196425264532,0.5439455782312924,0.403030303030303,0.6831196149190267
degree_activation,42,64,64,32,0.0001,0,1e-05,3,3,75,0.6203743327747692,0.6785034013605441,0.6060606060606061,0.6938631733258566
degree_activation,42,64,64,32,0.0001,0,0.0001,3,3,75,0.6336972334168174,0.6644897959183674,0.5757575757575758,0.6873924930890402
degree_activation,42,64,64,32,0.0001,0,0.001,3,3,75,0.6428487625989047,0.6570068027210884,0.5727272727272728,0.6789621512095133
degree_activation,42,64,64,32,0.001,0,1e-05,3,3,75,0.39968968656930054,0.8684353741496599,0.6530303030303031,0.7936198115348816
degree_activation,42,64,64,32,0.001,0,0.0001,3,3,75,0.42535656690597534,0.83578231292517,0.6287878787878788,0.7930794159571329
degree_activation,42,64,64,32,0.001,0,0.001,3,3,75,0.6452551863410256,0.6348299319727891,0.5863636363636364,0.6869194706281027
degree_activation,42,64,64,32,0.01,0,1e-05,3,3,75,0.6652443246407942,0.5129251700680272,0.5106060606060606,0.6954425772031149
degree_activation,42,64,64,32,0.01,0,0.0001,3,3,75,0.6676895401694558,0.5274829931972789,0.4287878787878788,0.6975236137708029
degree_activation,42,64,64,32,0.01,0,0.001,3,3,75,0.6682663776657798,0.5165986394557823,0.4,0.6979832053184509
degree_activation,42,64,64,64,1e-05,0,1e-05,3,3,75,0.671313155781139,0.5484353741496598,0.40606060606060607,0.6889730294545492
