overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
15.992897,6.214176,9.944588,5.6151123,-46.388466,-14.085168,-47.882477,-14.031641,-37.588387,-14.6660385,-47.303032,-38.950275,-42.916557,-35.479477,-54.290398,-69.310425,-43.310562,-111.8909,-34.08133,-42.80945,0.9763545,197.20284
58.6784,8.804205,57.921944,7.9263134,0.86216736,-9.655386,9.451813,-9.496979,29.73912,-2.7078018,35.377594,-16.142025,50.65912,-3.848404,45.720978,-35.12101,59.40341,-23.484879,88.82599,164.05603,0.9737663,233.25012
20.723068,-8.469598,20.017906,-8.479603,-26.095016,-24.389399,-22.008759,-24.49569,6.7999115,-26.403889,9.820084,-27.089828,23.76091,-29.406883,19.137207,-71.26192,53.61917,-29.314758,80.29199,188.90164,0.95214385,240.09698
75.457855,-4.765015,64.62207,-4.5623574,24.701508,-17.639463,34.552475,-17.697052,87.555145,-13.200743,102.66411,-1.5397758,138.35205,11.704758,155.75305,-18.122871,194.22601,93.23624,216.48523,486.2467,0.9538899,635.85254
14.005379,-7.4281034,11.01284,-7.276972,-20.377487,-23.291561,-24.429718,-23.42139,3.1900787,-23.168007,10.697922,-25.84997,27.20279,-29.412727,29.936417,-49.057716,50.702072,10.371262,86.238434,213.39343,0.95041573,253.80763
-7.764122,-8.027769,-2.6925964,-8.054838,-47.619225,-20.940643,-46.645477,-21.063488,-32.079597,-28.769993,-21.081306,-28.611597,-24.364655,-33.52717,-5.7286224,-61.43997,12.046097,-33.34037,7.5372314,115.34897,0.9459436,169.66605
17.076546,-7.339658,34.47117,-7.3495846,-16.848015,-18.264843,-18.44609,-18.372604,16.704239,-24.284481,39.817047,-22.950792,46.76387,-16.461632,51.856903,-52.45877,61.418533,-7.3322296,110.50433,298.54034,0.93083286,344.85706
40.267265,5.8177366,47.11715,5.0243435,0.048065186,-1.565301,-7.6281586,-1.4573812,17.242798,-1.1107903,35.571213,-15.088276,42.05208,-4.877495,27.233963,-16.878311,55.02884,-5.3667145,66.08942,184.43994,0.9708048,223.6436
11.562721,-4.0176477,11.88707,-3.9952934,-33.22638,-9.929789,-32.84001,-10.055768,-21.004715,-21.617939,-3.8918,-37.34929,11.968002,-41.008244,1.9503479,-67.93948,30.995132,-50.542137,41.195435,130.26697,0.9456992,183.39621
11.415848,10.897778,12.115295,9.847488,-36.214817,3.377655,-30.616882,3.5313091,-32.366997,0.43976974,-32.696396,-15.327393,-37.47213,-20.116104,-48.34092,-62.399204,-23.288399,-78.29693,-38.661224,-45.970764,0.97890115,153.09312
