overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
667.5282,139.0396,572.40247,138.18393,621.7344,131.0017,599.98584,148.07236,677.02136,146.6613,587.7363,137.82097,648.5044,138.10446,713.6051,279.09137,649.0299,292.95032,676.4397,439.55603,0.9929868,2150.8557
509.7212,122.72894,458.0254,131.87889,439.90894,111.43564,474.48303,115.84662,494.8944,130.10481,462.5498,122.42964,484.26868,121.495575,510.92175,192.59576,580.4586,201.1849,415.08435,198.88708,0.9916485,1604.3717
319.56885,84.57146,326.21155,95.80902,326.09766,95.22905,336.05334,94.047714,309.18372,94.237656,302.4585,102.317215,355.5536,86.82761,321.60803,160.06433,375.05725,178.794,308.2649,34.72986,0.99339736,1095.6088
177.04669,64.52222,166.0625,67.043365,201.07574,73.283615,167.52509,62.222305,107.14209,71.62492,209.02643,65.97894,181.6242,68.51985,70.892334,125.752625,134.3601,126.604675,141.64697,-108.93396,0.9940605,578.3657
762.90393,172.45883,842.37134,162.60376,876.4275,170.00577,789.56714,171.84592,819.3805,149.61441,785.49634,160.80392,803.2396,165.27847,973.98,350.56525,1008.5237,369.9032,1037.0376,823.37305,0.996362,2964.082
527.7478,131.53766,556.4866,127.87364,541.0049,133.7891,549.7499,125.23575,517.5221,132.92073,526.3572,129.10902,518.36475,145.12662,666.135,207.52115,640.0508,248.03992,662.2634,439.3412,0.9963807,1925.8579
522.04956,112.392914,515.64905,116.27673,517.9625,110.76857,520.6023,105.0988,533.07776,112.56644,575.7329,105.089005,548.953,104.36041,641.536,220.1352,606.71875,223.41766,596.38293,454.24792,0.99573207,1875.8651
407.76648,100.8298,389.2566,82.49045,441.68872,97.94911,408.99268,89.73793,377.68005,96.059204,427.729,103.75305,395.70752,106.76059,359.7777,166.11874,327.6371,151.0857,362.6599,203.71936,0.9923121,1299.4526
601.55505,123.23276,620.3402,139.62448,556.4663,134.12396,575.3992,131.40157,641.39954,131.33585,614.4144,142.54915,645.5017,138.33694,664.2422,240.88452,674.14954,242.2821,687.99927,471.12793,0.99330133,2104.1316
640.5691,155.22174,699.39233,133.88557,688.6633,150.13382,669.1842,135.75023,659.64844,136.09106,658.0585,133.48265,664.9407,146.08974,698.2361,246.73853,748.95825,225.66922,662.74023,418.81165,0.9878442,2246.651
167.55524,67.327225,207.02594,70.6651,262.24298,75.8752,187.59271,78.18109,185.72406,79.563995,192.05676,73.71855,262.4756,56.11586,-0.78967285,68.156555,26.22876,72.150055,1.4346924,-229.07593,0.980417,643.8141
