overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
184.87561,188.38461,106.53577,146.78757,165.58203,134.0974,182.67566,138.48096,119.806274,110.597305,182.30469,160.76025,106.89441,135.0413,141.92627,167.83185,78.4082,154.54022,73.99292,-222.66077,0.9932778,670.24756
-327.90076,46.92723,-331.19855,65.889755,-431.60364,50.973404,-396.23053,50.76596,-405.73187,37.376602,-387.7387,75.29111,-343.65204,61.397095,-323.79877,48.171738,-475.6643,-43.854004,-496.01184,-717.57245,0.9924591,1453.4052
171.08057,91.02356,135.66003,132.02063,198.6825,112.58571,239.93018,133.68573,91.328125,124.429184,230.7721,110.19844,170.5675,125.6754,163.11755,118.78265,71.805664,172.80646,46.40088,-190.7373,0.99275327,670.3392
326.4192,168.78873,346.0835,165.05353,354.53625,165.50003,310.45288,116.92705,358.464,137.97377,337.49292,149.17975,331.18005,204.9602,318.52673,176.64838,331.91455,217.50208,347.76648,17.112183,0.99329746,1179.8075
367.69885,162.01279,412.31885,202.58926,359.30164,165.095,367.60547,163.87204,358.56897,193.74014,388.61365,184.30624,459.32654,209.15155,367.5974,164.47498,281.46082,230.68457,321.61377,-39.79077,0.98902243,1302.4199
325.10547,131.8729,229.37195,170.97937,258.3324,152.02548,294.3507,169.75754,232.99414,142.26189,289.15564,143.6693,331.66614,171.64435,331.04028,151.86615,185.38281,190.24738,197.24329,-96.16809,0.9894546,989.87
-322.25085,26.463562,-323.1577,38.844193,-308.72864,13.504051,-324.24176,19.563995,-326.086,-6.5687866,-286.13763,55.47734,-292.5567,49.85739,-307.73444,60.585556,-418.69366,-22.82489,-472.68585,-608.48846,0.99356425,1248.5137
296.39197,125.94832,295.9807,157.78003,307.09326,149.59427,326.89868,110.5092,282.6516,153.40677,315.55518,152.75009,304.44824,139.6307,315.1809,113.277405,233.30664,210.3872,248.49292,-61.000854,0.99240583,1032.8718
393.03076,177.98846,371.18152,151.7637,387.46423,150.43118,351.60632,114.824326,438.65894,146.84174,360.6985,176.67883,314.69922,152.81833,416.8274,140.4524,347.36462,213.6596,330.3246,-9.233032,0.9919978,1274.0514
459.1305,135.50854,427.58325,156.27124,357.7118,146.84839,380.13452,142.48703,461.00513,181.79794,380.67493,203.85269,429.91565,158.97281,453.0149,165.06656,427.92944,204.63458,435.01904,97.58899,0.99284875,1431.4739
216.05481,152.4844,259.1432,119.67946,208.27844,156.05627,249.51831,97.99313,260.38928,147.32391,253.02563,164.6286,257.188,154.78625,272.70837,130.59923,141.85303,122.860596,113.88672,-170.69519,0.9896871,854.6877
453.43347,173.71329,482.7699,167.02878,460.16638,170.4678,466.2328,192.35477,476.8424,160.58481,439.6942,216.32935,466.60852,147.26042,467.92163,155.93109,346.7837,202.69589,369.26587,-24.131836,0.98710084,1505.3849
371.32776,184.76306,438.27686,166.59314,377.60864,191.11111,386.45117,168.85156,416.8656,219.82498,313.15662,131.9882,337.9729,143.98076,375.54395,155.64517,236.34741,168.59375,230.91406,-106.95764,0.98596674,1239.2241
670.0421,189.4802,723.96094,202.99597,707.83386,203.86731,709.34985,222.7055,705.1561,251.70932,675.4617,175.02798,734.79565,215.58176,669.3922,215.74463,626.64307,263.16998,661.1372,253.8158,0.9890388,2288.566
382.39038,105.579285,352.99023,175.26035,435.98132,148.05234,368.31396,153.393,321.58252,161.2185,357.94092,94.95534,361.2013,194.66077,333.77283,173.66147,247.52075,177.14362,297.03052,-145.84583,0.98695505,1209.3315
770.36975,205.38654,702.7864,272.85837,718.78613,242.84479,792.6666,205.37924,806.61035,227.63837,771.6106,265.12027,787.0436,250.37854,820.0564,234.87277,777.4021,294.61676,760.89795,355.57336,0.98989916,2573.8276
14.846313,91.138214,10.208008,76.47742,69.98816,78.692184,-34.053467,106.353455,-24.608765,65.44188,12.675537,85.18706,-29.939453,34.881638,15.32019,36.424805,-256.9619,40.31012,-264.4392,-541.4746,0.98897606,696.2748
317.55273,139.09595,332.79333,130.93384,359.93164,126.050934,320.13184,151.50351,286.87354,161.7273,356.85706,133.82513,305.33105,145.24066,287.87085,115.38379,130.82373,185.07227,101.01343,-219.13647,0.99093485,1045.3536
142.67896,52.59207,87.92285,115.88034,120.32178,78.37555,166.04016,66.89905,169.22656,76.217804,200.98999,62.639465,222.72864,83.02304,146.21973,89.250305,-2.892334,-2.6367188,11.428833,-276.76746,0.9951044,581.6417
-425.81702,-34.135788,-368.40002,-51.3143,-306.48914,-39.007355,-420.85596,-52.45395,-394.7185,-53.93654,-390.41943,-47.89064,-420.03088,-29.132477,-359.3506,-60.812225,-724.93945,-188.83902,-750.0759,-822.7273,0.9950391,1737.9285
-341.0741,-58.81169,-350.94702,-32.133545,-397.3418,-36.89966,-359.7019,-43.689285,-335.71924,-57.174637,-375.70117,-38.71953,-398.45483,10.918091,-349.63574,-60.611908,-592.80286,-168.41943,-669.9042,-816.34656,0.9964137,1604.0349
-677.9187,-111.66699,-668.96185,-102.19685,-692.7235,-91.37363,-649.1423,-94.34151,-683.81934,-141.84567,-663.054,-95.25154,-659.96747,-108.458496,-689.93054,-121.099106,-988.5853,-318.0777,-1075.6189,-1083.0483,0.9971671,2670.4597
-146.71606,-1.2732849,-160.15991,-3.3110962,-106.088745,-12.411652,-122.14221,21.729889,-119.986206,-60.13414,-70.839355,-16.099976,-46.581543,32.623352,-93.64807,-17.187775,-364.6819,-140.22949,-409.49927,-544.6974,0.99662554,852.42065
-564.6184,-55.650726,-537.9208,-79.12047,-525.5945,-75.400925,-536.6564,-52.447357,-504.9436,-96.39906,-494.76636,-106.61946,-457.90686,-86.65765,-532.18774,-64.35129,-863.39185,-329.16437,-935.76404,-972.432,0.9953928,2211.3894
-168.01294,-45.177124,-205.26416,50.363617,-248.55127,-34.361862,-165.98901,-46.029007,-182.71716,-20.431091,-217.80432,-44.794144,-175.94885,-36.865524,-208.20032,2.4169922,-551.72925,-185.64526,-555.06226,-757.0625,0.9942128,1243.6215
-309.80505,-28.189056,-395.93286,-10.209961,-411.78455,-38.743668,-405.35254,3.553955,-428.46765,-52.352432,-345.234,-7.59375,-406.7527,-31.82515,-285.54822,-45.88304,-779.06494,-299.43634,-856.0967,-1025.2681,0.9924529,1904.0444
-760.0965,-73.314026,-717.85583,-68.7505,-758.0531,-87.599594,-790.5631,-49.13385,-714.23517,-107.82597,-772.2892,-95.02997,-760.84326,-71.73308,-731.1246,-108.9814,-1254.2621,-369.92987,-1341.3118,-1448.0103,0.99246854,3190.0515
-375.24548,52.51413,-377.04065,-10.5772705,-379.8623,-5.885437,-356.8994,23.39392,-372.73633,1.2641907,-395.2881,11.718567,-390.49463,-28.316818,-417.59863,-27.632126,-867.13477,-216.56104,-876.90845,-1148.4078,0.99151146,2017.0492
