overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
674.7881,37.688644,631.5209,42.134827,642.6085,39.66072,614.54565,40.584366,638.49695,39.113113,615.3595,36.51593,768.09546,120.184814,831.80273,153.38501,745.73096,97.94971,740.1278,752.5386,0.998018,2332.3904
446.3922,24.681137,430.0492,29.857666,403.46558,22.754898,415.66394,26.496506,399.63367,21.721512,466.1765,17.619385,534.7388,75.25888,582.98645,52.05423,452.14185,105.87756,517.74634,472.8418,0.9986211,1562.618
236.11133,-2.789215,222.19128,-4.601883,265.08704,-1.5782776,271.6897,-4.5698853,191.85559,-5.3276367,264.00183,-4.6894836,269.1012,42.676056,192.60693,10.543549,256.32373,-0.7514038,259.77612,210.58984,0.9985011,802.9892
1275.2158,119.58484,1207.8661,118.81326,1251.1274,118.99933,1219.737,118.53262,1269.2957,120.36508,1223.7307,119.509,1562.8586,344.50165,1569.5107,349.64398,1609.0139,399.65717,1643.3545,1639.2856,0.9981253,4755.583
1048.6489,97.734146,1027.6825,99.54579,1094.4471,96.70674,995.187,95.55159,1041.5535,95.77971,1012.4059,94.85687,1362.3818,314.36407,1409.0916,320.96576,1323.1858,294.0334,1487.9434,1402.0339,0.99854857,4070.6682
433.96753,15.002411,423.1692,15.220108,432.5902,9.488876,366.18738,14.172501,421.34326,12.372498,494.92847,15.78949,500.25842,78.308075,508.41602,77.277954,543.31177,123.71106,532.88794,463.9281,0.998289,1562.9467
699.152,73.15944,706.9376,74.85553,769.1188,79.681274,808.6339,74.94542,754.96045,80.710464,715.70654,77.11978,1023.8214,222.3451,1012.4968,255.08246,1092.3123,211.14331,1052.5621,1068.1921,0.99919915,3004.3477
1269.4155,146.04593,1332.9044,139.08916,1250.8055,144.09776,1246.5239,143.17479,1301.7606,141.97156,1250.367,145.6339,1800.4878,462.27917,1807.8352,466.36603,1724.967,420.2378,1711.5273,1846.5005,0.9989193,5130.2935
853.8766,86.05673,822.3738,81.181885,840.3324,86.93112,905.92883,81.204636,823.56445,86.35222,774.02466,81.97864,1189.949,281.94202,1190.3817,244.53415,1148.3674,298.15656,1196.4742,1293.8419,0.9984111,3425.9983
812.35474,89.05768,775.6129,89.69946,774.1199,85.04532,759.68286,87.99614,824.5382,81.927216,719.31055,85.43613,1137.2106,281.79547,1193.7499,261.19818,1087.7795,285.94012,1195.8932,1229.7467,0.99858516,3279.2522
1622.8992,191.10403,1574.9475,185.983,1594.0488,188.43082,1569.0972,188.61044,1594.7478,189.86008,1575.5337,191.94873,2106.8257,550.39557,2114.4028,543.41205,2158.1892,547.54395,2272.6162,2136.2249,0.99940807,6288.99
