from,to,date,value
41644,37211,2015-08-19,1.0
14094,73395,2015-08-19,1.0
381,36067,2015-08-19,1.0
11260,3651,2015-08-19,1.0
11919,78324,2015-08-19,1.0
16678,37211,2015-08-19,1.0
16659,46298,2015-08-19,1.0
75422,76453,2015-08-19,1.0
38698,70809,2015-08-19,1.0
13972,40549,2015-08-19,1.0
55893,46290,2015-08-19,1.0
65878,45707,2015-08-19,1.0
36103,45707,2015-08-19,1.0
437,65818,2015-08-19,1.0
7076,1532,2015-08-19,1.0
5010,61682,2015-08-19,1.0
25028,1532,2015-08-19,1.0
55893,35936,2015-08-19,1.0
25510,78316,2015-08-19,1.0
1176,3993,2015-08-19,1.0
44953,12481,2015-08-19,1.0
13972,238,2015-08-19,1.0
35840,4177,2015-08-19,1.0
13650,67002,2015-08-19,1.0
20787,70809,2015-08-19,1.0
11054,66009,2015-08-19,1.0
18739,56704,2015-08-19,1.0
9025,78329,2015-08-19,1.0
11142,31310,2015-08-19,1.0
1532,1532,2015-08-19,1.0
8725,1532,2015-08-19,1.0
12481,78321,2015-08-19,1.0
31469,8460,2015-08-19,1.0
317,36974,2015-08-19,1.0
11100,4177,2015-08-19,1.0
27453,63984,2015-08-19,1.0
5091,31310,2015-08-19,1.0
19885,78180,2015-08-19,1.0
1310,70964,2015-08-19,1.0
8628,76042,2015-08-19,1.0
60435,11920,2015-08-19,1.0
78061,290,2015-08-19,1.0
15780,71104,2015-08-19,1.0
4177,4177,2015-08-19,1.0
6986,36974,2015-08-19,1.0
6096,37211,2015-08-19,1.0
1056,1056,2015-08-19,1.0
3324,78249,2015-08-19,1.0
1465,1465,2015-08-19,1.0
11054,11054,2015-08-19,1.0
6085,11145,2015-08-19,1.0
4040,1056,2015-08-19,1.0
11540,11540,2015-08-19,1.0
25510,78249,2015-08-19,1.0
7206,12489,2015-08-19,1.0
11540,41970,2015-08-19,1.0
4040,41291,2015-08-19,1.0
4177,75954,2015-08-19,1.0
76479,76479,2015-08-19,1.0
24993,7076,2015-08-19,1.0
18060,70964,2015-08-19,1.0
36721,36721,2015-08-19,1.0
2480,2480,2015-08-19,1.0
2290,78239,2015-08-19,1.0
8430,8725,2015-08-19,1.0
7076,76479,2015-08-19,1.0
7076,7076,2015-08-19,1.0
405,25311,2015-08-19,1.0
27453,65952,2015-08-19,1.0
26080,26080,2015-08-19,1.0
25256,25256,2015-08-19,1.0
54761,54761,2015-08-19,1.0
405,10035,2015-08-19,1.0
7076,25256,2015-08-19,1.0
23141,78308,2015-08-19,1.0
2415,54415,2015-08-19,1.0
70809,20787,2015-08-19,1.0
2926,24625,2015-08-19,1.0
71104,71104,2015-08-19,1.0
21369,41970,2015-08-19,1.0
1946,26080,2015-08-19,1.0
41562,13972,2015-08-19,1.0
21349,7952,2015-08-19,1.0
13265,56010,2015-08-19,1.0
2530,8725,2015-08-19,1.0
321,4002,2015-08-19,1.0
7294,7294,2015-08-19,1.0
250,4002,2015-08-19,1.0
1532,6094,2015-08-19,1.0
1266,56704,2015-08-19,1.0
56010,56010,2015-08-19,1.0
66009,66009,2015-08-19,1.0
2530,6094,2015-08-19,1.0
6094,6094,2015-08-19,1.0
41291,41291,2015-08-19,1.0
12565,76479,2015-08-19,1.0
7206,1532,2015-08-19,1.0
12310,1465,2015-08-19,1.0
25256,21574,2015-08-19,1.0
1345,63984,2015-08-19,1.0
20787,20787,2015-08-19,1.0
62560,62560,2015-08-19,1.0
21051,62560,2015-08-19,1.0
19186,65800,2015-08-19,1.0
78273,12481,2015-08-19,1.0
2530,74564,2015-08-19,1.0
70809,70809,2015-08-19,1.0
31310,11142,2015-08-19,1.0
3651,3651,2015-08-19,1.0
53127,450,2015-08-19,1.0
40023,40023,2015-08-19,1.0
4002,40549,2015-08-19,1.0
56704,18739,2015-08-19,1.0
37211,41644,2015-08-19,1.0
16678,16678,2015-08-19,1.0
51424,10898,2015-08-19,1.0
44953,44953,2015-08-19,1.0
25311,25311,2015-08-19,1.0
37211,16678,2015-08-19,1.0
62709,25311,2015-08-19,1.0
12481,44953,2015-08-19,1.0
76453,76453,2015-08-19,1.0
70964,1310,2015-08-19,1.0
18739,18739,2015-08-19,1.0
613,76453,2015-08-19,1.0
11540,78299,2015-08-19,1.0
37211,37211,2015-08-19,1.0
78321,12481,2015-08-19,1.0
801,4177,2015-08-19,1.0
12481,10898,2015-08-19,1.0
36688,25256,2015-08-19,1.0
5740,1532,2015-08-19,1.0
5091,5091,2015-08-19,1.0
1532,8725,2015-08-19,1.0
40883,1,2015-08-19,1.0
70355,40263,2015-08-19,1.0
11100,11100,2015-08-19,1.0
78180,1266,2015-08-19,1.0
4177,11100,2015-08-19,1.0
21574,21574,2015-08-19,1.0
2926,2841,2015-08-19,1.0
290,37211,2015-08-19,1.0
67002,13650,2015-08-19,1.0
37211,78321,2015-08-19,1.0
20302,78308,2015-08-19,1.0
12481,12481,2015-08-19,1.0
40263,40263,2015-08-19,1.0
56704,56704,2015-08-19,1.0
78329,78329,2015-08-19,1.0
35840,73395,2015-08-19,1.0
21146,10898,2015-08-19,1.0
73395,14094,2015-08-19,1.0
41654,41654,2015-08-19,1.0
13113,18739,2015-08-19,1.0
7206,26080,2015-08-19,1.0
5010,5010,2015-08-19,1.0
75749,42440,2015-08-19,1.0
41644,41644,2015-08-19,1.0
297,1358,2015-08-19,1.0
1650,38698,2015-08-19,1.0
75616,78327,2015-08-19,1.0
46298,16659,2015-08-19,1.0
8103,65818,2015-08-19,1.0
22989,65818,2015-08-19,1.0
65818,65818,2015-08-19,1.0
43326,65818,2015-08-19,1.0
2290,10898,2015-08-19,1.0
38889,18739,2015-08-20,1.0
38889,38889,2015-08-20,1.0
26522,38889,2015-08-20,1.0
12705,61682,2015-08-20,1.0
32898,32898,2015-08-20,1.0
8628,8628,2015-08-20,1.0
1176,1176,2015-08-20,1.0
6494,78347,2015-08-20,1.0
1176,8628,2015-08-20,1.0
33128,33128,2015-08-20,1.0
58096,58096,2015-08-20,1.0
3684,33128,2015-08-20,1.0
18739,18739,2015-08-20,1.0
1946,1946,2015-08-20,1.0
1492,2893,2015-08-20,1.0
6794,1946,2015-08-20,1.0
73529,6794,2015-08-20,1.0
73529,1946,2015-08-20,1.0
7206,1532,2015-08-20,1.0
12481,10035,2015-08-20,1.0
35840,35840,2015-08-20,1.0
11100,78347,2015-08-20,1.0
2954,7076,2015-08-20,1.0
78334,78334,2015-08-20,1.0
297,297,2015-08-20,1.0
3272,78347,2015-08-20,1.0
6801,6801,2015-08-20,1.0
3993,1176,2015-08-20,1.0
290,78350,2015-08-20,1.0
75735,75735,2015-08-20,1.0
10035,10035,2015-08-20,1.0
7076,7076,2015-08-20,1.0
2362,75735,2015-08-20,1.0
405,70190,2015-08-20,1.0
1492,78347,2015-08-20,1.0
2926,75735,2015-08-20,1.0
11115,23835,2015-08-20,1.0
586,76042,2015-08-20,1.0
8769,4961,2015-08-20,1.0
40883,58443,2015-08-20,1.0
78239,78239,2015-08-20,1.0
21051,78164,2015-08-20,1.0
75735,8628,2015-08-20,1.0
14094,5034,2015-08-20,1.0
2530,8725,2015-08-20,1.0
40549,40549,2015-08-20,1.0
43326,33699,2015-08-20,1.0
75616,58443,2015-08-20,1.0
8103,3460,2015-08-20,1.0
47795,47795,2015-08-20,1.0
1946,31807,2015-08-20,1.0
11142,47795,2015-08-20,1.0
8103,68708,2015-08-20,1.0
13972,10858,2015-08-20,1.0
290,13767,2015-08-20,1.0
65915,8628,2015-08-20,1.0
15934,78315,2015-08-20,1.0
25485,10035,2015-08-20,1.0
11417,78347,2015-08-20,1.0
4312,297,2015-08-20,1.0
11926,78347,2015-08-20,1.0
76593,58096,2015-08-20,1.0
61436,7076,2015-08-20,1.0
6518,78347,2015-08-20,1.0
78,78347,2015-08-20,1.0
806,806,2015-08-20,1.0
77927,77927,2015-08-20,1.0
61682,61682,2015-08-20,1.0
763,77923,2015-08-20,1.0
67002,13650,2015-08-20,1.0
75749,2310,2015-08-20,1.0
77923,77923,2015-08-20,1.0
11540,78315,2015-08-20,1.0
11540,8628,2015-08-20,1.0
2530,1532,2015-08-20,1.0
2530,5712,2015-08-20,1.0
2926,77923,2015-08-20,1.0
1532,8725,2015-08-20,1.0
1573,68708,2015-08-20,1.0
4231,26208,2015-08-20,1.0
297,10858,2015-08-20,1.0
41644,10858,2015-08-20,1.0
2000,75,2015-08-20,1.0
31807,31807,2015-08-20,1.0
5034,5034,2015-08-20,1.0
15629,78347,2015-08-20,1.0
297,1358,2015-08-20,1.0
11100,35840,2015-08-20,1.0
12705,40263,2015-08-20,1.0
47795,33128,2015-08-20,1.0
31807,6316,2015-08-20,1.0
6666,33699,2015-08-20,1.0
26208,25514,2015-08-20,1.0
22131,77923,2015-08-20,1.0
8799,1056,2015-08-20,1.0
75,8628,2015-08-20,1.0
2000,8628,2015-08-20,1.0
1532,1056,2015-08-20,1.0
6794,73529,2015-08-20,1.0
1946,73529,2015-08-20,1.0
38624,78334,2015-08-20,1.0
75422,71105,2015-08-20,1.0
5712,1056,2015-08-20,1.0
78358,1532,2015-08-20,1.0
60435,78347,2015-08-20,1.0
12178,1532,2015-08-20,1.0
61682,40263,2015-08-20,1.0
317,15242,2015-08-20,1.0
70809,43559,2015-08-20,1.0
11028,24586,2015-08-20,1.0
806,9924,2015-08-20,1.0
77927,78306,2015-08-20,1.0
1073,1358,2015-08-20,1.0
13767,27467,2015-08-20,1.0
14094,14094,2015-08-20,1.0
38698,38698,2015-08-20,1.0
35840,4177,2015-08-20,1.0
30462,3993,2015-08-20,1.0
1650,38698,2015-08-20,1.0
1532,17836,2015-08-20,1.0
3993,3993,2015-08-20,1.0
2530,6094,2015-08-20,1.0
30516,3651,2015-08-20,1.0
4832,16702,2015-08-20,1.0
1162,6801,2015-08-20,1.0
12178,30520,2015-08-20,1.0
35936,55893,2015-08-20,1.0
45707,36103,2015-08-20,1.0
1847,297,2015-08-20,1.0
38698,1650,2015-08-20,1.0
13113,1916,2015-08-20,1.0
36103,36103,2015-08-20,1.0
11926,1358,2015-08-20,1.0
17836,1532,2015-08-20,1.0
3928,78306,2015-08-20,1.0
49,1176,2015-08-20,1.0
1358,1358,2015-08-20,1.0
18739,297,2015-08-20,1.0
13168,11661,2015-08-20,1.0
46845,36155,2015-08-20,1.0
44812,78273,2015-08-20,1.0
11100,4177,2015-08-20,1.0
75422,806,2015-08-21,1.0
13265,78327,2015-08-21,1.0
61682,61682,2015-08-21,1.0
13265,75682,2015-08-21,1.0
70739,4002,2015-08-21,1.0
