from,to,date,value
101348,104275,2017-10-11,1031645330754.0
104281,104282,2017-10-12,564230638589.0
95417,79917,2017-10-12,969300000000.0
104280,82622,2017-10-12,1249800000000.0
79845,94201,2017-10-12,1983933328373.0
104284,80117,2017-10-12,99197000000.0
104290,4194,2017-10-12,549333539300.0
81924,103851,2017-10-12,297300000000.0
104284,104286,2017-10-12,39679000000.0
104290,95652,2017-10-12,1043733725000.0
104290,79928,2017-10-12,549333539300.0
104268,103958,2017-10-12,166700000000.0
95417,93147,2017-10-12,6234900000000.0
104290,79947,2017-10-12,714133601100.0
104290,104291,2017-10-12,549333539300.0
103185,104293,2017-10-12,1192053000000.0
104290,104297,2017-10-12,4559468376000.0
81924,103851,2017-10-12,10000000000.0
71708,91822,2017-10-12,10155000000000.0
71708,102450,2017-10-12,20000000000000.0
104290,80952,2017-10-12,7031469303000.0
104290,86098,2017-10-12,2417067573000.0
104290,97390,2017-10-12,1648000618000.0
104295,104296,2017-10-12,100000000.0
57276,104283,2017-10-12,17700000000.0
88395,81162,2017-10-12,39678666600.0
27819,21932,2017-10-12,37198750000.0
37912,101321,2017-10-12,297590000000.0
104290,90760,2017-10-12,3625601359000.0
104279,104280,2017-10-12,1249800000000.0
104281,104282,2017-10-12,100.0
81924,103851,2017-10-12,10079998512.0
104295,103145,2017-10-12,800000000000.0
94201,79845,2017-10-12,1000039879660.0
70163,70164,2017-10-12,396786665674.0
104290,102065,2017-10-12,1648000618000.0
104290,79803,2017-10-12,878933662800.0
95417,92698,2017-10-12,799600000000.0
104290,38806,2017-10-12,988800370700.0
104290,104299,2017-10-12,385108109200.0
104290,103923,2017-10-12,329600123600.0
71708,104289,2017-10-12,20000000000000.0
102494,102465,2017-10-12,595180000000.0
95417,76412,2017-10-12,807800000000.0
104290,86199,2017-10-12,824000308900.0
104290,80143,2017-10-12,384533477500.0
81924,103917,2017-10-12,277800000000.0
104290,80511,2017-10-12,4669335084000.0
104284,82680,2017-10-12,251744000000.0
94201,79845,2017-10-12,1983933328373.0
104284,82255,2017-10-12,79357000000.0
76142,104287,2017-10-12,10000000000.0
82489,82490,2017-10-12,100000000.0
104294,89648,2017-10-12,1963035000000.0
102493,102494,2017-10-12,1700000000000.0
104284,104285,2017-10-12,495983000000.0
104290,103185,2017-10-12,2746667696000.0
103694,13520,2017-10-12,1983933333333.0
104290,102813,2017-10-12,4010134837000.0
104290,78028,2017-10-12,2746667696000.0
104290,104292,2017-10-12,5136268592000.0
104290,79939,2017-10-12,549333539300.0
104290,100128,2017-10-12,1098667079000.0
104290,80237,2017-10-12,549333539300.0
104291,81795,2017-10-12,329500000000.0
95417,97319,2017-10-12,484700000000.0
104290,94586,2017-10-12,824000308900.0
104290,95443,2017-10-12,824000308900.0
104278,103910,2017-10-12,261879199345.0
104290,104284,2017-10-12,3735468067000.0
104290,104298,2017-10-12,3296001236000.0
104288,76893,2017-10-12,2000000000.0
104290,80023,2017-10-12,1483200556000.0
102448,102449,2017-10-12,100000000.0
102448,102449,2017-10-12,2698049326587.0
104284,79764,2017-10-12,420197000000.0
104290,80099,2017-10-12,659200247100.0
104288,76893,2017-10-12,1451102211000.0
101348,104275,2017-10-12,931645330754.0
104290,80191,2017-10-12,384533477500.0
102537,102536,2017-10-12,297590000000.0
104290,103861,2017-10-12,1648000618000.0
104290,80871,2017-10-13,1043733725000.0
82703,102487,2017-10-13,500000000000.0
99798,104308,2017-10-13,6686332473.0
104301,79884,2017-10-13,164790000000.0
104290,104304,2017-10-13,329600123600.0
104290,104328,2017-10-13,999500000.0
104301,80034,2017-10-13,274664179000.0
104317,22720,2017-10-13,36000000000.0
