from,to,date,value
3847,49221,2014-04-07,1.0
14514,5259,2014-04-07,1.0
3859,49236,2014-04-07,1.0
43559,4528,2014-04-07,1.0
38468,3847,2014-04-07,1.0
49244,6269,2014-04-07,1.0
327,4807,2014-04-07,1.0
49245,1302,2014-04-07,1.0
47887,6269,2014-04-07,1.0
15629,49242,2014-04-07,1.0
10366,49234,2014-04-07,1.0
14447,14354,2014-04-07,1.0
12120,36356,2014-04-07,1.0
1409,36886,2014-04-07,1.0
43107,49234,2014-04-07,1.0
317,28145,2014-04-07,1.0
3193,1056,2014-04-07,1.0
4600,49230,2014-04-07,1.0
32332,43941,2014-04-07,1.0
3948,21123,2014-04-07,1.0
44291,48547,2014-04-07,1.0
1946,8133,2014-04-07,1.0
394,43941,2014-04-07,1.0
1715,49268,2014-04-07,1.0
44143,6316,2014-04-07,1.0
13972,49247,2014-04-07,1.0
48954,49266,2014-04-07,1.0
385,49268,2014-04-07,1.0
11142,49283,2014-04-07,1.0
2926,49270,2014-04-07,1.0
21123,21123,2014-04-07,1.0
20787,49283,2014-04-07,1.0
13650,43172,2014-04-07,1.0
1540,43941,2014-04-07,1.0
26935,43172,2014-04-07,1.0
1946,49268,2014-04-07,1.0
6756,21052,2014-04-07,1.0
49031,43172,2014-04-08,1.0
3206,49035,2014-04-08,1.0
2575,2575,2014-04-08,1.0
14514,9947,2014-04-08,1.0
38624,49249,2014-04-08,1.0
2273,49270,2014-04-08,1.0
49301,2000,2014-04-08,1.0
22880,43941,2014-04-08,1.0
14830,49288,2014-04-08,1.0
9317,683,2014-04-08,1.0
2622,43941,2014-04-08,1.0
10265,48977,2014-04-08,1.0
49268,49268,2014-04-08,1.0
29808,10061,2014-04-08,1.0
7206,8133,2014-04-08,1.0
11791,4433,2014-04-08,1.0
7460,13441,2014-04-08,1.0
11142,13441,2014-04-08,1.0
6094,4600,2014-04-08,1.0
26039,48222,2014-04-08,1.0
6205,28145,2014-04-08,1.0
46773,44534,2014-04-08,1.0
13265,49221,2014-04-08,1.0
10400,49242,2014-04-08,1.0
956,42656,2014-04-08,1.0
14901,7458,2014-04-08,1.0
47586,49265,2014-04-08,1.0
1056,7458,2014-04-08,1.0
3891,49242,2014-04-08,1.0
19129,7458,2014-04-08,1.0
32389,398,2014-04-08,1.0
11640,5301,2014-04-08,1.0
956,4721,2014-04-08,1.0
49208,43017,2014-04-08,1.0
297,9068,2014-04-08,1.0
5701,10518,2014-04-08,1.0
1310,2095,2014-04-08,1.0
35959,49340,2014-04-08,1.0
43672,46958,2014-04-08,1.0
6101,4600,2014-04-09,1.0
7378,7378,2014-04-09,1.0
49345,1985,2014-04-09,1.0
8176,36688,2014-04-09,1.0
11919,31429,2014-04-09,1.0
39754,4600,2014-04-09,1.0
24274,34984,2014-04-09,1.0
14493,4600,2014-04-09,1.0
3634,7576,2014-04-09,1.0
48142,46987,2014-04-09,1.0
3106,31429,2014-04-09,1.0
49370,31429,2014-04-09,1.0
9317,31429,2014-04-09,1.0
9317,4181,2014-04-09,1.0
321,18836,2014-04-09,1.0
3193,40700,2014-04-09,1.0
3193,1056,2014-04-09,1.0
40821,25905,2014-04-09,1.0
11716,36687,2014-04-09,1.0
16537,7576,2014-04-09,1.0
37850,37850,2014-04-09,1.0
49340,5091,2014-04-09,1.0
26380,44498,2014-04-09,1.0
5984,43354,2014-04-09,1.0
9652,38536,2014-04-09,1.0
34050,34050,2014-04-09,1.0
3272,9762,2014-04-09,1.0
25510,9762,2014-04-09,1.0
17845,44498,2014-04-09,1.0
39129,11727,2014-04-09,1.0
13972,49058,2014-04-09,1.0
394,15884,2014-04-10,1.0
16002,49406,2014-04-10,1.0
3803,5091,2014-04-10,1.0
14514,49406,2014-04-10,1.0
