dataset,hidden_dim_1,hidden_dim_2,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,32,0.0001,500,3,0.3125,0.697350263595581
CollegeMsg,64,32,0.0001,750,3,0.6418181818181818,0.7182860473791758
CollegeMsg,64,32,0.0001,1000,3,0.5650154798761611,2.2838043371836343
CollegeMsg,64,32,0.001,500,3,0.375,0.6502216259638468
CollegeMsg,64,32,0.001,750,3,0.35,0.6810866792996725
CollegeMsg,64,32,0.001,1000,3,0.36363636363636365,0.6542656819025675
CollegeMsg,64,64,0.0001,500,3,0.6021671826625387,1.5541011095046997
CollegeMsg,64,64,0.0001,750,3,0.5857142857142857,3.409292141596476
CollegeMsg,64,64,0.0001,1000,3,0.6153846153846154,0.9426031510035197
CollegeMsg,64,64,0.001,500,3,0.375,0.6526215473810831
CollegeMsg,64,64,0.001,750,3,0.3846153846153846,0.6028200288613638
CollegeMsg,64,64,0.001,1000,3,0.3846153846153846,0.6053922971089681
CollegeMsg,64,128,0.0001,500,3,0.5375,2.7682190338770547
CollegeMsg,64,128,0.0001,750,3,0.6705685618729097,1.501795843243599
CollegeMsg,64,128,0.0001,1000,3,0.6363636363636364,1.626209149758021
CollegeMsg,64,128,0.001,500,3,0.3846153846153846,0.606168806552887
CollegeMsg,64,128,0.001,750,3,0.36363636363636365,0.6465507547060648
CollegeMsg,64,128,0.001,1000,3,0.3846153846153846,0.6571729977925619
CollegeMsg,64,256,0.0001,500,3,0.5375,3.152839104334513
