dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,0.0001,500,2,0.6785714285714286,18631.515299479168
CollegeMsg,64,0.0001,750,2,0.6785714285714286,26129.599609375
CollegeMsg,64,0.0001,1000,2,0.6785714285714286,31875.252604166668
CollegeMsg,64,0.001,500,2,0.6609848484848485,8673.544921875
CollegeMsg,64,0.001,750,2,0.5666666666666667,3282.8390299479165
CollegeMsg,64,0.001,1000,2,0.7155172413793104,2914.407918294271
CollegeMsg,128,0.0001,500,2,0.7016129032258064,25915.809895833332
CollegeMsg,128,0.0001,750,2,0.7016129032258064,33416.034505208336
CollegeMsg,128,0.0001,1000,2,0.7016129032258064,4474.516845703125
CollegeMsg,128,0.001,500,2,0.5757575757575758,8332.002766927084
CollegeMsg,128,0.001,750,2,0.5757575757575758,11150.861653645834
CollegeMsg,128,0.001,1000,2,0.6190476190476191,2760.637451171875
CollegeMsg,256,0.0001,500,2,0.6149425287356322,3167.7816569010415
CollegeMsg,256,0.0001,750,2,0.7272727272727273,3579.17626953125
CollegeMsg,256,0.0001,1000,2,0.4184782608695652,3792.83203125
CollegeMsg,256,0.001,500,2,0.7016129032258064,40978.419270833336
CollegeMsg,256,0.001,750,2,0.5757575757575758,40934.446614583336
CollegeMsg,256,0.001,1000,2,0.5757575757575758,9791.649251302084
CollegeMsg,512,0.0001,500,2,0.65625,3117.9688313802085
CollegeMsg,512,0.0001,750,2,0.7083333333333334,3017.28271484375
CollegeMsg,512,0.0001,1000,2,0.5245098039215687,2049.937215169271
CollegeMsg,512,0.001,500,2,0.7016129032258064,40886.989583333336
CollegeMsg,512,0.001,750,2,0.7016129032258064,40887.483072916664
CollegeMsg,512,0.001,1000,2,0.7016129032258064,40888.16015625
networkadex,64,0.0001,500,2,0.49245283018867925,388464.3671875
networkadex,64,0.0001,750,2,0.5424242424242425,449450.46875
networkadex,64,0.0001,1000,2,0.5424242424242425,432539.0078125
networkadex,64,0.001,500,2,0.5424242424242425,468119.859375
networkadex,64,0.001,750,2,0.5424242424242425,468333.78125
networkadex,64,0.001,1000,2,0.4915966386554621,468575.0859375
networkadex,128,0.0001,500,2,0.5424242424242425,443919.2734375
networkadex,128,0.0001,750,2,0.5424242424242425,466525.8671875
networkadex,128,0.0001,1000,2,0.4902597402597403,468707.2421875
networkadex,128,0.001,500,2,0.5424242424242425,467841.453125
networkadex,128,0.001,750,2,0.5424242424242425,468408.5859375
networkadex,128,0.001,1000,2,0.5083333333333333,467985.8515625
networkadex,256,0.0001,500,2,0.5424242424242425,463806.2421875
networkadex,256,0.0001,750,2,0.4748549323017408,468585.1875
networkadex,256,0.0001,1000,2,0.4748549323017408,468713.71875
