dataset,hidden_dim,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,0.0001,500,2,0.6893939393939393,18974.881510416668
CollegeMsg,64,0.0001,750,2,0.9411764705882353,26611.485677083332
CollegeMsg,64,0.0001,1000,2,0.5986842105263158,1807.8946126302083
CollegeMsg,64,0.001,500,2,0.6893939393939393,11021.5693359375
CollegeMsg,64,0.001,750,2,0.625,4275.045247395833
CollegeMsg,64,0.001,1000,2,0.9411764705882353,5248.067708333333
CollegeMsg,128,0.0001,500,2,0.9411764705882353,26199.515625
CollegeMsg,128,0.0001,750,2,0.9411764705882353,33502.641927083336
CollegeMsg,128,0.0001,1000,2,0.5326797385620915,2097.3392740885415
CollegeMsg,128,0.001,500,2,0.6282051282051282,41046.15625
CollegeMsg,128,0.001,750,2,0.6041666666666666,5291.652994791667
CollegeMsg,128,0.001,1000,2,0.9411764705882353,6816.525227864583
CollegeMsg,256,0.0001,500,2,0.65625,1957.1197916666667
CollegeMsg,256,0.0001,750,2,0.6190476190476191,2855.16015625
CollegeMsg,256,0.0001,1000,2,0.631578947368421,3398.9463704427085
CollegeMsg,256,0.001,500,2,0.9411764705882353,3245.980672200521
CollegeMsg,256,0.001,750,2,0.65625,4335.653564453125
CollegeMsg,256,0.001,1000,2,0.6666666666666666,558.3673146565756
CollegeMsg,512,0.0001,500,2,0.619047619047619,1796.9911702473958
CollegeMsg,512,0.0001,750,2,0.6470588235294118,3152.6943359375
CollegeMsg,512,0.0001,1000,2,0.65625,3310.931640625
CollegeMsg,512,0.001,500,2,0.9411764705882353,40888.509114583336
CollegeMsg,512,0.001,750,2,0.9411764705882353,40888.858072916664
CollegeMsg,512,0.001,1000,2,0.9411764705882353,40889.22265625
networkadex,64,0.0001,500,2,0.6333333333333333,393598.265625
networkadex,64,0.0001,750,2,0.2894736842105263,466217.296875
networkadex,64,0.0001,1000,2,0.2857142857142857,470385.3125
networkadex,64,0.001,500,2,0.2894736842105263,470338.71875
networkadex,64,0.001,750,2,0.2894736842105263,470338.4453125
networkadex,64,0.001,1000,2,0.2894736842105263,470338.125
networkadex,128,0.0001,500,2,0.2894736842105263,463332.96875
networkadex,128,0.0001,750,2,0.2894736842105263,470501.34375
networkadex,128,0.0001,1000,2,0.2894736842105263,470693.4375
networkadex,128,0.001,500,2,0.2894736842105263,470162.2421875
networkadex,128,0.001,750,2,0.2857142857142857,470161.8203125
networkadex,128,0.001,1000,2,0.2894736842105263,470161.703125
networkadex,256,0.0001,500,2,0.2894736842105263,470333.1484375
networkadex,256,0.0001,750,2,0.2894736842105263,470675.515625
networkadex,256,0.0001,1000,2,0.2894736842105263,470691.1953125
networkadex,256,0.001,500,2,0.2857142857142857,469911.3828125
networkadex,256,0.001,750,2,0.2894736842105263,469911.03125
networkadex,256,0.001,1000,2,0.2857142857142857,469911.03125
networkadex,512,0.0001,500,2,0.2894736842105263,470638.90625
networkadex,512,0.0001,750,2,0.2894736842105263,470651.328125
networkadex,512,0.0001,1000,2,0.2894736842105263,470648.703125
networkadex,512,0.001,500,2,0.2894736842105263,469554.875
networkadex,512,0.001,750,2,0.2894736842105263,469554.9296875
networkadex,512,0.001,1000,2,0.2857142857142857,469554.734375
networkaragon,64,0.0001,500,2,0.33333333333333337,693589.2625
networkaragon,64,0.0001,750,2,0.33333333333333337,864424.1875
networkaragon,64,0.0001,1000,2,0.33333333333333337,879183.4875
networkaragon,64,0.001,500,2,0.33333333333333337,882994.85
networkaragon,64,0.001,750,2,0.33333333333333337,882993.0125
networkaragon,64,0.001,1000,2,0.33333333333333337,882992.7125
networkaragon,128,0.0001,500,2,0.33333333333333337,856237.425
networkaragon,128,0.0001,750,2,0.33333333333333337,880009.925
networkaragon,128,0.0001,1000,2,0.33333333333333337,881170.2875
networkaragon,128,0.001,500,2,0.33076923076923076,883802.7
networkaragon,128,0.001,750,2,0.33076923076923076,883802.125
networkaragon,128,0.001,1000,2,0.33333333333333337,883801.925
networkaragon,256,0.0001,500,2,0.33333333333333337,879348.975
networkaragon,256,0.0001,750,2,0.33333333333333337,881328.125
networkaragon,256,0.0001,1000,2,0.33333333333333337,881383.2375
