dataset,hidden_dim_1,hidden_dim_2,dropout,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,32,0.0001,0.2,500,3,0.6785714285714286,10417.812174479166
CollegeMsg,64,32,0.0001,0.2,750,3,0.7029914529914529,18616.256184895832
CollegeMsg,64,32,0.0001,0.2,1000,3,0.6785714285714286,23445.61328125
CollegeMsg,64,32,0.001,0.2,500,3,0.7029914529914529,39584.958333333336
CollegeMsg,64,32,0.001,0.2,750,3,0.7029914529914529,39554.638020833336
CollegeMsg,64,32,0.001,0.2,1000,3,0.7029914529914529,39289.735677083336
CollegeMsg,64,64,0.0001,0.2,500,3,0.6785714285714286,18072.673828125
CollegeMsg,64,64,0.0001,0.2,750,3,0.6785714285714286,25695.77734375
CollegeMsg,64,64,0.0001,0.2,1000,3,0.65,31392.094401041668
CollegeMsg,64,64,0.001,0.2,500,3,0.6785714285714286,39867.240885416664
CollegeMsg,64,64,0.001,0.2,750,3,0.5757575757575758,40056.170572916664
CollegeMsg,64,64,0.001,0.2,1000,3,0.7029914529914529,39849.688802083336
CollegeMsg,64,128,0.0001,0.2,500,3,0.6785714285714286,25076.858072916668
CollegeMsg,64,128,0.0001,0.2,750,3,0.65,32916.245442708336
CollegeMsg,64,128,0.0001,0.2,1000,3,0.7155172413793104,37224.625651041664
CollegeMsg,64,128,0.001,0.2,500,3,0.7029914529914529,40400.0859375
CollegeMsg,64,128,0.001,0.2,750,3,0.6785714285714286,40443.294270833336
CollegeMsg,64,128,0.001,0.2,1000,3,0.6785714285714286,40576.91796875
CollegeMsg,64,256,0.0001,0.2,500,3,0.7016129032258064,32490.180338541668
CollegeMsg,64,256,0.0001,0.2,750,3,0.7016129032258064,38205.984375
CollegeMsg,64,256,0.0001,0.2,1000,3,0.7016129032258064,40154.458333333336
CollegeMsg,64,256,0.001,0.2,500,3,0.6785714285714286,40679.717447916664
CollegeMsg,64,256,0.001,0.2,750,3,0.6785714285714286,40603.041666666664
CollegeMsg,64,256,0.001,0.2,1000,3,0.6785714285714286,40448.186197916664
CollegeMsg,128,32,0.0001,0.2,500,3,0.6785714285714286,10231.163248697916
CollegeMsg,128,32,0.0001,0.2,750,3,0.6785714285714286,18497.189453125
CollegeMsg,128,32,0.0001,0.2,1000,3,0.6785714285714286,23640.240885416668
CollegeMsg,128,32,0.001,0.2,500,3,0.6785714285714286,39739.981770833336
CollegeMsg,128,32,0.001,0.2,750,3,0.6785714285714286,39528.76953125
CollegeMsg,128,32,0.001,0.2,1000,3,0.7029914529914529,39497.203125
CollegeMsg,128,64,0.0001,0.2,500,3,0.6785714285714286,18073.986979166668
CollegeMsg,128,64,0.0001,0.2,750,3,0.6785714285714286,25673.8046875
CollegeMsg,128,64,0.0001,0.2,1000,3,0.7016129032258064,30956.123697916668
CollegeMsg,128,64,0.001,0.2,500,3,0.6785714285714286,40405.221354166664
CollegeMsg,128,64,0.001,0.2,750,3,0.6785714285714286,39940.427083333336
CollegeMsg,128,64,0.001,0.2,1000,3,0.6785714285714286,40127.971354166664
CollegeMsg,128,128,0.0001,0.2,500,3,0.7016129032258064,25611.938151041668
CollegeMsg,128,128,0.0001,0.2,750,3,0.7016129032258064,32934.716796875
CollegeMsg,128,128,0.0001,0.2,1000,3,0.7016129032258064,37244.35546875
