dataset,hidden_dim_1,hidden_dim_2,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,32,0.0001,500,3,0.6785714285714286,10785.353352864584
CollegeMsg,64,32,0.0001,750,3,0.6785714285714286,19188.581380208332
CollegeMsg,64,32,0.0001,1000,3,0.6785714285714286,24783.715494791668
CollegeMsg,64,32,0.001,500,3,0.6785714285714286,41026.204427083336
CollegeMsg,64,32,0.001,750,3,0.7029914529914529,40962.990885416664
CollegeMsg,64,32,0.001,1000,3,0.6785714285714286,40938.071614583336
CollegeMsg,64,64,0.0001,500,3,0.6785714285714286,18515.541015625
CollegeMsg,64,64,0.0001,750,3,0.6785714285714286,26441.656901041668
CollegeMsg,64,64,0.0001,1000,3,0.6785714285714286,31903.356770833332
CollegeMsg,64,64,0.001,500,3,0.7029914529914529,40986.973958333336
CollegeMsg,64,64,0.001,750,3,0.6785714285714286,40939.166666666664
CollegeMsg,64,64,0.001,1000,3,0.6785714285714286,40866.901041666664
CollegeMsg,64,128,0.0001,500,3,0.6785714285714286,25635.942708333332
CollegeMsg,64,128,0.0001,750,3,0.65,33389.830078125
CollegeMsg,64,128,0.0001,1000,3,0.7016129032258064,37631.834635416664
CollegeMsg,64,128,0.001,500,3,0.6785714285714286,40970.638020833336
CollegeMsg,64,128,0.001,750,3,0.6785714285714286,40921.361979166664
CollegeMsg,64,128,0.001,1000,3,0.6785714285714286,40898.05859375
CollegeMsg,64,256,0.0001,500,3,0.7016129032258064,32657.176432291668
CollegeMsg,64,256,0.0001,750,3,0.6504629629629629,4139.979410807292
CollegeMsg,64,256,0.0001,1000,3,0.7016129032258064,40383.438802083336
CollegeMsg,64,256,0.001,500,3,0.6785714285714286,40964.723958333336
CollegeMsg,64,256,0.001,750,3,0.6785714285714286,40957.649739583336
CollegeMsg,64,256,0.001,1000,3,0.6785714285714286,40950.244791666664
CollegeMsg,128,32,0.0001,500,3,0.6785714285714286,10821.1396484375
CollegeMsg,128,32,0.0001,750,3,0.6785714285714286,19254.3955078125
CollegeMsg,128,32,0.0001,1000,3,0.6785714285714286,24721.94921875
CollegeMsg,128,32,0.001,500,3,0.6785714285714286,41020.92578125
CollegeMsg,128,32,0.001,750,3,0.6785714285714286,40965.833333333336
CollegeMsg,128,32,0.001,1000,3,0.6785714285714286,40934.428385416664
CollegeMsg,128,64,0.0001,500,3,0.6785714285714286,18534.111328125
CollegeMsg,128,64,0.0001,750,3,0.6785714285714286,26175.860026041668
CollegeMsg,128,64,0.0001,1000,3,0.65,31853.28515625
CollegeMsg,128,64,0.001,500,3,0.6785714285714286,40989.709635416664
CollegeMsg,128,64,0.001,750,3,0.7029914529914529,40933.733072916664
CollegeMsg,128,64,0.001,1000,3,0.6785714285714286,40909.358072916664
CollegeMsg,128,128,0.0001,500,3,0.6785714285714286,25557.889973958332
CollegeMsg,128,128,0.0001,750,3,0.7016129032258064,33165.553385416664
CollegeMsg,128,128,0.0001,1000,3,0.7016129032258064,37680.247395833336
CollegeMsg,128,128,0.001,500,3,0.6785714285714286,40970.078125
CollegeMsg,128,128,0.001,750,3,0.6785714285714286,40920.33203125
CollegeMsg,128,128,0.001,1000,3,0.6785714285714286,40896.317708333336
CollegeMsg,128,256,0.0001,500,3,0.7016129032258064,32823.415364583336
CollegeMsg,128,256,0.0001,750,3,0.7016129032258064,38557.752604166664
CollegeMsg,128,256,0.0001,1000,3,0.7016129032258064,40428.37890625
CollegeMsg,128,256,0.001,500,3,0.6785714285714286,40964.701822916664
CollegeMsg,128,256,0.001,750,3,0.6785714285714286,40960.93359375
CollegeMsg,128,256,0.001,1000,3,0.6785714285714286,40952.619791666664
CollegeMsg,256,32,0.0001,500,3,0.6785714285714286,10774.429361979166
CollegeMsg,256,32,0.0001,750,3,0.6785714285714286,19224.361328125
CollegeMsg,256,32,0.0001,1000,3,0.6785714285714286,24627.356770833332
CollegeMsg,256,32,0.001,500,3,0.6785714285714286,41019.631510416664
CollegeMsg,256,32,0.001,750,3,0.7029914529914529,40965.748697916664
CollegeMsg,256,32,0.001,1000,3,0.6785714285714286,40941.634114583336
CollegeMsg,256,64,0.0001,500,3,0.6785714285714286,18409.109049479168
CollegeMsg,256,64,0.0001,750,3,0.6785714285714286,26042.541015625
CollegeMsg,256,64,0.0001,1000,3,0.6785714285714286,31729.133463541668
CollegeMsg,256,64,0.001,500,3,0.7029914529914529,40990.14453125
CollegeMsg,256,64,0.001,750,3,0.6785714285714286,40934.611979166664
CollegeMsg,256,64,0.001,1000,3,0.6785714285714286,40907.6875
CollegeMsg,256,128,0.0001,500,3,0.6785714285714286,25889.807291666668
CollegeMsg,256,128,0.0001,750,3,0.7016129032258064,33303.506510416664
CollegeMsg,256,128,0.0001,1000,3,0.7016129032258064,37694.66015625
CollegeMsg,256,128,0.001,500,3,0.6785714285714286,40976.95703125
CollegeMsg,256,128,0.001,750,3,0.6785714285714286,40918.557291666664
CollegeMsg,256,128,0.001,1000,3,0.6785714285714286,40897.837239583336
CollegeMsg,256,256,0.0001,500,3,0.7016129032258064,32595.860026041668
CollegeMsg,256,256,0.0001,750,3,0.7016129032258064,38494.18359375
CollegeMsg,256,256,0.0001,1000,3,0.7016129032258064,40403.720052083336
CollegeMsg,256,256,0.001,500,3,0.6785714285714286,40967.192708333336
CollegeMsg,256,256,0.001,750,3,0.6785714285714286,40955.454427083336
